Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density
SEP-NOV 2017,42.7,8.73,12.18,5.82,202.47,90.2,13.73,55.13,48.07,17.27,34.4,12.07
DEC-FEB 2017/ 18,41.67,9.58,17.5,2.92,182.2,107,6.43,49.4,49.6,25.6,25.4,11
MAR-MAY 2018,44.08,16.13,7.42,2.17,261.63,125.5,9.65,83.38,73.88,19.13,32.88,13.38
JUN-AUG 2018,38.85,15.77,7.31,0.96,82.83,48.11,10.87,32.06,12.94,5.06,10.06,4.11
SEP-NOV 2018,41.93,17.06,7.98,5.66,237.29,62.43,8.06,78.29,46.14,35.86,35.43,11
DEC-FEB 2018/ 19,41.72,17.35,8.55,3.56,292.67,110.17,15.89,127,52.67,34.83,40.83,12
MAR-MAY 2019,42.32,16.78,10.11,4.43,508.5,226.67,17.1,281.67,57.33,47.5,55.67,20.67
JUN-AUG 2019,37.56,14.4,13.21,0.92,359.56,131.11,8.11,175.67,39.11,45.22,40.22,12
SEP-NOV 2019,40.22,16.38,6.56,2.57,185.8,74.7,1.42,84.7,21.8,16.7,23.7,7.2
DEC-FEB 2019/ 20,34.52,19.88,8.45,4.03,407.71,145.57,10.31,215.14,41.57,42.14,43.43,12
MAR-MAY 2020,,,,,,,,,,,,
JUN-AUG 2020,,,,,,,,,,,,
SEP-NOV 2020,,,,,,,,,,,,
DEC-FEB 2020/ 21,,,,,,,,,,,,
MAR-MAY 2021,,,,,,,,,,,,
JUN-AUG 2021,,,,,,,,,,,,
SEP-NOV 2021,,,,,,,,,,,,
DEC-FEB 2021/ 22,,,,,,,,,,,,
MAR-MAY 2022,27.29,26.04,16.42,8.09,"1,319.33",244.5,8.56,"1,135.50",32,13.83,13.83,4.67
JUN-AUG 2022,23.56,15.83,15.51,7.22,923.47,125.87,6.07,689.27,133.67,18.4,17.73,3.8
SEP-NOV 2022,29.96,17.5,6.8,13.03,1777,213.73,21.76,1413.09,195.27,39,26.45,9.55
DEC-FEB 2022/ 23,28.73,17.21,16.23,7.8,988.54,76.54,3.57,772.23,100.31,20.15,13.62,6.69
MAR-MAY 2023,28.67,12.99,17.39,9.2,634.31,52.25,4.11,502,43.31,16.56,14.94,6.56
JUN-AUG 2023,26.7,16.81,21.05,1.81,1042.91,62.18,5.33,797.55,135.56,21.18,18.18,7.45
SEP-NOV 2023,23.57,14.29,26.19,1.37,1054.67,61.17,5.78,788.33,170.67,22.83,19.5,13
DEC-FEB 2023/ 24,19.17,11.96,23.24,2.65,799.59,49.76,2.96,604.35,120.82,12.71,19.53,14.06
MAR-MAY 2024,25.7,14.39,15.13,3.16,1005,155.4,14.2,696.2,198.4,16.7,13.3,10.5
JUN-AUG 2024,29.53,18.18,14.79,6.04,1113.5,115.4,2.85,823.1,131.6,19.3,16.4,7.7
SEP-NOV 2024,23,12.06,19.5,1.44,846.46,71.38,5.78,692.69,99.08,12.69,11.46,6.46
DEC-FEB 2024/ 25,,,,,,,,,,,,
