Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density
MAR-MAY 2019,25.36,21.49,1.25,4.46,287.63,129.88,8.63,134.5,25.25,9.25,30,15.38
JUN-AUG 2019,29.17,8.33,4.17,0.56,347.83,203.83,10.64,203.33,26.67,12.5,40.67,18.67
SEP-NOV 2019,30.48,6.31,3.21,13.1,93.58,39.42,2.26,39.67,7.83,3.67,8.08,8.83
DEC-FEB 2019/ 20,40.19,13.59,5.45,3.45,191.83,92.17,7.45,92.67,12.17,14.83,22.33,18.17
MAR-MAY 2020,,,,,,,,,,,,
JUN-AUG 2020,,,,,,,,,,,,
SEP-NOV 2020,,,,,,,,,,,,
DEC-FEB 2020/ 21,,,,,,,,,,,,
MAR-MAY 2021,,,,,,,,,,,,
JUN-AUG 2021,,,,,,,,,,,,
SEP-NOV 2021,,,,,,,,,,,,
DEC-FEB 2021/ 22,,,,,,,,,,,,
MAR-MAY 2022,,,,,,,,,,,,
JUN-AUG 2022,30.64,12.69,2.76,7.13,1231.38,367,13.25,985.13,101.5,4.5,17.25,9.13
SEP-NOV 2022,32.92,8.26,4.86,18.13,651.44,85.44,6.61,489.33,70.11,5,12.56,3.67
DEC-FEB 2022/ 23,27.86,7.98,7.26,18.13,790.71,119.86,4.12,620.43,60,6.29,14.86,5.71
MAR-MAY 2023,29.95,13.1,4.35,12.13,478.81,40.81,6.15,374.81,35.25,2.69,10.81,5.88
JUN-AUG 2023,36.42,6.21,7.35,3.75,432,31.41,3.57,310.82,44.35,2.47,10,4.47
SEP-NOV 2023,33.96,12.36,5.07,1.46,416.42,36.33,1.86,304.75,49.58,3.67,9.25,16.5
DEC-FEB 2023/ 24,29.26,10.69,3.89,0.93,635.33,81.4,20.5,440.87,62.13,4.87,8.93,11.2
MAR-MAY 2024,28.39,13.96,1.93,9.27,779.88,105.06,11.7,532.31,84.63,6.19,13.88,8.31
JUN-AUG 2024,34.32,6.82,6.72,5.62,425.5,72.2,12.22,313.1,49.1,3.1,11.3,7.5
SEP-NOV 2024,28.75,10.14,13.06,3.47,457.3,107.4,5.75,309.6,69.5,4.2,12.6,9.7
DEC-FEB 2024/ 25,,,,,,,,,,,,
