Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Andulay MPA,34.4,1,,,,,,,29.4,1,,,,,,,17.27,1,,,,,,,62.33,1,,,,,,,59.07,1,,,,,,,202.47,1,,,,,,,129.33,1,,,,,,,22.76,1,,,,,,,15.87,1,,,,,,
Winter 17/18,Andulay MPA,25.4,1,,,,,,,16.4,1,,,,,,,25.6,1,,,,,,,60.2,1,,,,,,,54.6,1,,,,,,,182.2,1,,,,,,,421.67,1,,,,,,,8.61,1,,,,,,,6.72,1,,,,,,
Spring 2018,Andulay MPA,32.88,1,,,,,,,24.25,1,,,,,,,19.12,1,,,,,,,92.5,1,,,,,,,94.12,1,,,,,,,262.88,1,,,,,,,82.8,1,,,,,,,17.17,1,,,,,,,11.08,1,,,,,,
Summer 2018,Andulay MPA,10.06,1,,,,,,,6.72,1,,,,,,,5.06,1,,,,,,,27.83,1,,,,,,,33.17,1,,,,,,,82.83,1,,,,,,,1168.43,1,,,,,,,14.36,1,,,,,,,11.14,1,,,,,,
Autumn 2018,Andulay MPA,35.43,1,,,,,,,25.43,1,,,,,,,36.0,1,,,,,,,56.57,1,,,,,,,83.86,1,,,,,,,237.29,1,,,,,,,108.12,1,,,,,,,13.07,1,,,,,,,8.89,1,,,,,,
Winter 18/19,Andulay MPA,40.83,1,,,,,,,20.83,1,,,,,,,35.5,1,,,,,,,61.17,1,,,,,,,134.33,1,,,,,,,292.67,1,,,,,,,35.67,1,,,,,,,20.56,1,,,,,,,16.79,1,,,,,,
Spring 2019,Andulay MPA,55.67,1,,,,,,,36.33,1,,,,,,,47.5,1,,,,,,,76.33,1,,,,,,,292.67,1,,,,,,,508.5,1,,,,,,,113.1,1,,,,,,,25.38,1,,,,,,,18.11,1,,,,,,
Summer 2019,Andulay MPA,40.22,1,,,,,,,28.89,1,,,,,,,45.22,1,,,,,,,60.33,1,,,,,,,184.89,1,,,,,,,359.56,1,,,,,,,37.72,1,,,,,,,14.33,1,,,,,,,9.16,1,,,,,,
Autumn 2019,Andulay MPA,23.7,1,,,,,,,19.7,1,,,,,,,17.0,1,,,,,,,39.8,1,,,,,,,85.6,1,,,,,,,185.8,1,,,,,,,23.11,1,,,,,,,3.59,1,,,,,,,1.95,1,,,,,,
Winter 19/20,Andulay MPA,43.43,1,,,,,,,22.86,1,,,,,,,42.71,1,,,,,,,75.57,1,,,,,,,223.14,1,,,,,,,407.71,1,,,,,,,61.5,1,,,,,,,18.81,1,,,,,,,11.14,1,,,,,,
