Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Antulang,48.33,1,,,,,,,26.67,1,,,,,,,24.67,1,,,,,,,38.33,1,,,,,,,98.0,1,,,,,,,236.0,1,,,,,,,31.0,1,,,,,,,29.79,1,,,,,,,24.36,1,,,,,,
Winter 17/18,Antulang,38.0,1,,,,,,,27.5,1,,,,,,,19.0,1,,,,,,,14.0,1,,,,,,,22.5,1,,,,,,,121.0,1,,,,,,,279.0,1,,,,,,,3.1,1,,,,,,,1.43,1,,,,,,
Spring 2018,Antulang,30.1,1,,,,,,,25.2,1,,,,,,,12.8,1,,,,,,,20.7,1,,,,,,,83.2,1,,,,,,,172.0,1,,,,,,,91.4,1,,,,,,,9.55,1,,,,,,,7.1,1,,,,,,
Summer 2018,Antulang,51.67,1,,,,,,,25.5,1,,,,,,,31.5,1,,,,,,,55.67,1,,,,,,,70.83,1,,,,,,,235.17,1,,,,,,,68.0,1,,,,,,,11.59,1,,,,,,,7.93,1,,,,,,
Autumn 2018,Antulang,80.25,1,,,,,,,65.75,1,,,,,,,59.5,1,,,,,,,46.0,1,,,,,,,199.0,1,,,,,,,450.5,1,,,,,,,437.5,1,,,,,,,23.05,1,,,,,,,15.41,1,,,,,,
Winter 18/19,Antulang,81.0,1,,,,,,,48.33,1,,,,,,,65.67,1,,,,,,,325.33,1,,,,,,,386.67,1,,,,,,,907.0,1,,,,,,,172.44,1,,,,,,,67.66,1,,,,,,,60.79,1,,,,,,
Spring 2019,Antulang,39.62,1,,,,,,,31.12,1,,,,,,,25.75,1,,,,,,,39.75,1,,,,,,,309.25,1,,,,,,,445.5,1,,,,,,,285.86,1,,,,,,,14.46,1,,,,,,,10.97,1,,,,,,
Summer 2019,Antulang,38.0,1,,,,,,,25.75,1,,,,,,,30.38,1,,,,,,,38.62,1,,,,,,,332.88,1,,,,,,,465.62,1,,,,,,,245.33,1,,,,,,,14.16,1,,,,,,,10.25,1,,,,,,
Autumn 2019,Antulang,22.22,1,,,,,,,25.22,1,,,,,,,18.11,1,,,,,,,25.11,1,,,,,,,63.11,1,,,,,,,153.78,1,,,,,,,78.55,1,,,,,,,3.25,1,,,,,,,1.95,1,,,,,,
Winter 19/20,Antulang,47.17,1,,,,,,,31.5,1,,,,,,,38.83,1,,,,,,,35.5,1,,,,,,,273.83,1,,,,,,,426.83,1,,,,,,,42.81,1,,,,,,,19.35,1,,,,,,,14.09,1,,,,,,
Summer 2022,Antulang,22.5,1,,,,,,,54.17,1,,,,,,,37.83,1,,,,,,,121.33,1,,,,,,,1028.83,1,,,,,,,1264.67,1,,,,,,,251.0,1,,,,,,,24.81,1,,,,,,,16.98,1,,,,,,
Autumn 2022,Antulang,25.29,1,,,,,,,32.43,1,,,,,,,38.71,1,,,,,,,108.57,1,,,,,,,969.14,1,,,,,,,1174.14,1,,,,,,,206.5,1,,,,,,,16.55,1,,,,,,,5.11,1,,,,,,
Winter 22/23,Antulang,10.4,1,,,,,,,10.5,1,,,,,,,17.3,1,,,,,,,27.4,1,,,,,,,525.6,1,,,,,,,591.2,1,,,,,,,131.67,1,,,,,,,16.35,1,,,,,,,8.55,1,,,,,,
Spring 2023,Antulang,10.94,1,,,,,,,12.06,1,,,,,,,13.5,1,,,,,,,29.67,1,,,,,,,487.5,1,,,,,,,553.67,1,,,,,,,120.67,1,,,,,,,9.02,1,,,,,,,2.64,1,,,,,,
Summer 2023,Antulang,11.38,1,,,,,,,13.62,1,,,,,,,16.75,1,,,,,,,66.81,1,,,,,,,624.56,1,,,,,,,733.12,1,,,,,,,39.09,1,,,,,,,12.84,1,,,,,,,5.38,1,,,,,,
Autumn 2023,Antulang,9.75,1,,,,,,,16.75,1,,,,,,,17.12,1,,,,,,,40.38,1,,,,,,,521.12,1,,,,,,,605.12,1,,,,,,,74.75,1,,,,,,,6.8,1,,,,,,,2.14,1,,,,,,
Winter 23/24,Antulang,12.94,1,,,,,,,17.94,1,,,,,,,17.06,1,,,,,,,50.69,1,,,,,,,578.44,1,,,,,,,677.06,1,,,,,,,51.83,1,,,,,,,14.18,1,,,,,,,7.85,1,,,,,,
Spring 2024,Antulang,11.08,1,,,,,,,14.69,1,,,,,,,17.08,1,,,,,,,80.85,1,,,,,,,452.46,1,,,,,,,576.15,1,,,,,,,103.0,1,,,,,,,7.78,1,,,,,,,1.49,1,,,,,,
Summer 2024,Antulang,13.64,1,,,,,,,13.82,1,,,,,,,22.36,1,,,,,,,105.55,1,,,,,,,676.91,1,,,,,,,832.27,1,,,,,,,306.83,1,,,,,,,12.01,1,,,,,,,6.5,1,,,,,,
Autumn 2024,Antulang,16.57,1,,,,,,,23.71,1,,,,,,,31.71,1,,,,,,,85.43,1,,,,,,,956.29,1,,,,,,,1113.71,1,,,,,,,349.57,1,,,,,,,17.38,1,,,,,,,4.7,1,,,,,,
Winter 24/25,Antulang,13.0,1,,,,,,,10.05,1,,,,,,,17.68,1,,,,,,,60.26,1,,,,,,,537.53,1,,,,,,,638.53,1,,,,,,,28.0,1,,,,,,,16.62,1,,,,,,,8.08,1,,,,,,
Spring 2025,Antulang,7.45,1,,,,,,,8.85,1,,,,,,,16.3,1,,,,,,,56.05,1,,,,,,,609.15,1,,,,,,,697.8,1,,,,,,,59.5,1,,,,,,,8.97,1,,,,,,,3.2,1,,,,,,
Summer 2025,Antulang,13.35,1,,,,,,,15.35,1,,,,,,,23.25,1,,,,,,,124.65,1,,,,,,,724.1,1,,,,,,,900.7,1,,,,,,,56.47,1,,,,,,,23.38,1,,,,,,,18.32,1,,,,,,
