Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Basak Can-Unsang MPA,33.67,1,,,,,,,26.17,1,,,,,,,12.67,1,,,,,,,63.67,1,,,,,,,133.17,1,,,,,,,269.33,1,,,,,,,92.4,1,,,,,,,40.72,1,,,,,,,28.63,1,,,,,,
Winter 17/18,Basak Can-Unsang MPA,12.0,1,,,,,,,7.0,1,,,,,,,11.0,1,,,,,,,43.0,1,,,,,,,66.0,1,,,,,,,139.0,1,,,,,,,608.4,1,,,,,,,11.73,1,,,,,,,8.46,1,,,,,,
Spring 2018,Basak Can-Unsang MPA,18.4,1,,,,,,,27.8,1,,,,,,,7.9,1,,,,,,,116.3,1,,,,,,,170.3,1,,,,,,,340.7,1,,,,,,,87.0,1,,,,,,,29.19,1,,,,,,,23.94,1,,,,,,
Summer 2018,Basak Can-Unsang MPA,25.0,1,,,,,,,29.38,1,,,,,,,10.0,1,,,,,,,41.75,1,,,,,,,65.62,1,,,,,,,171.75,1,,,,,,,99.3,1,,,,,,,16.65,1,,,,,,,13.51,1,,,,,,
Autumn 2018,Basak Can-Unsang MPA,37.43,1,,,,,,,57.29,1,,,,,,,13.71,1,,,,,,,225.86,1,,,,,,,454.14,1,,,,,,,788.43,1,,,,,,,138.2,1,,,,,,,111.12,1,,,,,,,58.65,1,,,,,,
Winter 18/19,Basak Can-Unsang MPA,42.67,1,,,,,,,33.17,1,,,,,,,14.5,1,,,,,,,201.0,1,,,,,,,486.5,1,,,,,,,777.83,1,,,,,,,89.82,1,,,,,,,83.34,1,,,,,,,45.44,1,,,,,,
Spring 2019,Basak Can-Unsang MPA,25.6,1,,,,,,,35.6,1,,,,,,,11.7,1,,,,,,,81.9,1,,,,,,,231.8,1,,,,,,,386.6,1,,,,,,,557.0,1,,,,,,,24.89,1,,,,,,,18.05,1,,,,,,
Summer 2019,Basak Can-Unsang MPA,49.67,1,,,,,,,56.67,1,,,,,,,24.0,1,,,,,,,324.33,1,,,,,,,879.33,1,,,,,,,1334.0,1,,,,,,,140.88,1,,,,,,,130.4,1,,,,,,,71.99,1,,,,,,
Autumn 2019,Basak Can-Unsang MPA,26.33,1,,,,,,,38.78,1,,,,,,,11.0,1,,,,,,,48.44,1,,,,,,,45.11,1,,,,,,,169.67,1,,,,,,,200.0,1,,,,,,,9.89,1,,,,,,,3.86,1,,,,,,
Winter 19/20,Basak Can-Unsang MPA,29.88,1,,,,,,,42.12,1,,,,,,,6.25,1,,,,,,,70.0,1,,,,,,,231.88,1,,,,,,,380.12,1,,,,,,,78.55,1,,,,,,,32.21,1,,,,,,,18.57,1,,,,,,
