Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Spring 2019,Dalakit MPA,66.0,1,,,,,,,94.0,1,,,,,,,63.0,1,,,,,,,175.0,1,,,,,,,205.0,1,,,,,,,603.0,1,,,,,,,128.5,1,,,,,,,44.59,1,,,,,,,24.02,1,,,,,,
Summer 2019,Dalakit MPA,52.0,1,,,,,,,83.0,1,,,,,,,52.0,1,,,,,,,225.0,1,,,,,,,205.0,1,,,,,,,617.0,1,,,,,,,63.33,1,,,,,,,58.93,1,,,,,,,27.46,1,,,,,,
Autumn 2019,Dalakit MPA,15.33,1,,,,,,,54.67,1,,,,,,,9.33,1,,,,,,,30.33,1,,,,,,,130.33,1,,,,,,,240.0,1,,,,,,,220.2,1,,,,,,,7.74,1,,,,,,,2.92,1,,,,,,
Winter 19/20,Dalakit MPA,33.0,1,,,,,,,79.0,1,,,,,,,23.0,1,,,,,,,45.5,1,,,,,,,118.5,1,,,,,,,299.0,1,,,,,,,79.33,1,,,,,,,13.25,1,,,,,,,6.52,1,,,,,,
Spring 2022,Dalakit MPA,43.5,1,,,,,,,20.5,1,,,,,,,16.5,1,,,,,,,225.5,1,,,,,,,751.5,1,,,,,,,1057.5,1,,,,,,,74.5,1,,,,,,,47.83,1,,,,,,,8.44,1,,,,,,
Summer 2022,Dalakit MPA,19.0,1,,,,,,,27.0,1,,,,,,,7.0,1,,,,,,,134.0,1,,,,,,,461.5,1,,,,,,,648.5,1,,,,,,,57.5,1,,,,,,,20.95,1,,,,,,,6.08,1,,,,,,
Autumn 2022,Dalakit MPA,11.75,1,,,,,,,13.5,1,,,,,,,9.0,1,,,,,,,78.5,1,,,,,,,216.5,1,,,,,,,329.25,1,,,,,,,64.77,1,,,,,,,10.41,1,,,,,,,2.91,1,,,,,,
Winter 22/23,Dalakit MPA,19.0,1,,,,,,,18.5,1,,,,,,,12.0,1,,,,,,,84.0,1,,,,,,,324.5,1,,,,,,,458.0,1,,,,,,,212.5,1,,,,,,,11.89,1,,,,,,,2.45,1,,,,,,
Spring 2023,Dalakit MPA,48.5,1,,,,,,,42.5,1,,,,,,,26.5,1,,,,,,,238.0,1,,,,,,,571.0,1,,,,,,,926.5,1,,,,,,,154.5,1,,,,,,,42.59,1,,,,,,,19.76,1,,,,,,
Summer 2023,Dalakit MPA,9.17,1,,,,,,,16.67,1,,,,,,,7.33,1,,,,,,,60.83,1,,,,,,,189.67,1,,,,,,,283.67,1,,,,,,,56.56,1,,,,,,,18.95,1,,,,,,,11.26,1,,,,,,
Autumn 2023,Dalakit MPA,26.0,1,,,,,,,69.0,1,,,,,,,14.0,1,,,,,,,258.0,1,,,,,,,532.0,1,,,,,,,899.0,1,,,,,,,45.55,1,,,,,,,56.32,1,,,,,,,47.11,1,,,,,,
Winter 23/24,Dalakit MPA,10.5,1,,,,,,,36.5,1,,,,,,,8.0,1,,,,,,,123.0,1,,,,,,,374.5,1,,,,,,,552.5,1,,,,,,,101.62,1,,,,,,,10.85,1,,,,,,,5.78,1,,,,,,
Spring 2024,Dalakit MPA,15.25,1,,,,,,,23.0,1,,,,,,,9.5,1,,,,,,,140.0,1,,,,,,,276.75,1,,,,,,,464.5,1,,,,,,,86.29,1,,,,,,,16.63,1,,,,,,,10.95,1,,,,,,
Summer 2024,Dalakit MPA,11.0,1,,,,,,,13.5,1,,,,,,,4.5,1,,,,,,,86.5,1,,,,,,,151.0,1,,,,,,,266.5,1,,,,,,,281.0,1,,,,,,,3.65,1,,,,,,,1.87,1,,,,,,
Autumn 2024,Dalakit MPA,2.0,1,,,,,,,2.0,1,,,,,,,4.0,1,,,,,,,20.0,1,,,,,,,23.0,1,,,,,,,51.0,1,,,,,,,264.83,1,,,,,,,1.24,1,,,,,,,0.62,1,,,,,,
