Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Guinsuan MPA,21.22,1,,,,,,,21.67,1,,,,,,,11.78,1,,,,,,,31.56,1,,,,,,,61.78,1,,,,,,,148.0,1,,,,,,,101.67,1,,,,,,,15.25,1,,,,,,,12.74,1,,,,,,
Winter 17/18,Guinsuan MPA,16.5,1,,,,,,,16.75,1,,,,,,,6.25,1,,,,,,,75.0,1,,,,,,,35.75,1,,,,,,,150.25,1,,,,,,,72.88,1,,,,,,,16.73,1,,,,,,,1.98,1,,,,,,
Spring 2018,Guinsuan MPA,21.75,1,,,,,,,41.12,1,,,,,,,9.75,1,,,,,,,42.38,1,,,,,,,66.5,1,,,,,,,181.5,1,,,,,,,136.3,1,,,,,,,7.07,1,,,,,,,5.18,1,,,,,,
Summer 2018,Guinsuan MPA,32.64,1,,,,,,,31.18,1,,,,,,,12.0,1,,,,,,,30.91,1,,,,,,,70.18,1,,,,,,,176.91,1,,,,,,,42.67,1,,,,,,,9.26,1,,,,,,,5.68,1,,,,,,
Autumn 2018,Guinsuan MPA,51.33,1,,,,,,,50.83,1,,,,,,,21.5,1,,,,,,,106.67,1,,,,,,,156.83,1,,,,,,,387.17,1,,,,,,,114.38,1,,,,,,,22.51,1,,,,,,,15.61,1,,,,,,
Winter 18/19,Guinsuan MPA,53.0,1,,,,,,,60.67,1,,,,,,,30.17,1,,,,,,,85.0,1,,,,,,,231.5,1,,,,,,,460.33,1,,,,,,,139.71,1,,,,,,,21.19,1,,,,,,,14.77,1,,,,,,
Spring 2019,Guinsuan MPA,49.62,1,,,,,,,49.75,1,,,,,,,25.75,1,,,,,,,48.38,1,,,,,,,194.88,1,,,,,,,368.38,1,,,,,,,88.14,1,,,,,,,13.15,1,,,,,,,9.88,1,,,,,,
Summer 2019,Guinsuan MPA,44.5,1,,,,,,,34.62,1,,,,,,,22.0,1,,,,,,,62.0,1,,,,,,,50.25,1,,,,,,,213.38,1,,,,,,,303.4,1,,,,,,,11.64,1,,,,,,,8.31,1,,,,,,
Autumn 2019,Guinsuan MPA,29.0,1,,,,,,,63.5,1,,,,,,,17.9,1,,,,,,,20.8,1,,,,,,,64.8,1,,,,,,,196.0,1,,,,,,,375.4,1,,,,,,,3.84,1,,,,,,,2.14,1,,,,,,
Winter 19/20,Guinsuan MPA,23.29,1,,,,,,,50.71,1,,,,,,,17.86,1,,,,,,,72.0,1,,,,,,,136.71,1,,,,,,,300.57,1,,,,,,,30.41,1,,,,,,,8.16,1,,,,,,,5.31,1,,,,,,
Summer 2022,Guinsuan MPA,15.15,1,,,,,,,35.69,1,,,,,,,17.31,1,,,,,,,112.92,1,,,,,,,808.08,1,,,,,,,989.15,1,,,,,,,41.37,1,,,,,,,21.03,1,,,,,,,11.34,1,,,,,,
Autumn 2022,Guinsuan MPA,28.86,1,,,,,,,35.86,1,,,,,,,22.43,1,,,,,,,133.43,1,,,,,,,867.57,1,,,,,,,1088.14,1,,,,,,,113.23,1,,,,,,,21.07,1,,,,,,,5.08,1,,,,,,
Winter 22/23,Guinsuan MPA,12.09,1,,,,,,,12.73,1,,,,,,,9.27,1,,,,,,,49.45,1,,,,,,,416.27,1,,,,,,,499.82,1,,,,,,,170.86,1,,,,,,,16.72,1,,,,,,,2.43,1,,,,,,
Spring 2023,Guinsuan MPA,20.47,1,,,,,,,32.4,1,,,,,,,11.33,1,,,,,,,67.4,1,,,,,,,594.13,1,,,,,,,725.73,1,,,,,,,169.0,1,,,,,,,15.64,1,,,,,,,5.62,1,,,,,,
Summer 2023,Guinsuan MPA,13.67,1,,,,,,,19.33,1,,,,,,,13.67,1,,,,,,,76.27,1,,,,,,,715.27,1,,,,,,,838.2,1,,,,,,,373.25,1,,,,,,,13.67,1,,,,,,,6.93,1,,,,,,
Autumn 2023,Guinsuan MPA,9.8,1,,,,,,,13.2,1,,,,,,,6.0,1,,,,,,,72.6,1,,,,,,,299.6,1,,,,,,,401.2,1,,,,,,,180.22,1,,,,,,,18.57,1,,,,,,,16.24,1,,,,,,
Winter 23/24,Guinsuan MPA,13.82,1,,,,,,,26.64,1,,,,,,,10.73,1,,,,,,,85.36,1,,,,,,,667.55,1,,,,,,,804.09,1,,,,,,,301.57,1,,,,,,,19.23,1,,,,,,,11.52,1,,,,,,
Spring 2024,Guinsuan MPA,11.0,1,,,,,,,31.0,1,,,,,,,9.38,1,,,,,,,85.75,1,,,,,,,588.25,1,,,,,,,725.38,1,,,,,,,349.41,1,,,,,,,9.85,1,,,,,,,3.91,1,,,,,,
Summer 2024,Guinsuan MPA,10.0,1,,,,,,,23.71,1,,,,,,,5.71,1,,,,,,,109.0,1,,,,,,,469.29,1,,,,,,,617.71,1,,,,,,,52.25,1,,,,,,,7.63,1,,,,,,,3.36,1,,,,,,
Autumn 2024,Guinsuan MPA,7.31,1,,,,,,,13.69,1,,,,,,,6.92,1,,,,,,,47.92,1,,,,,,,348.46,1,,,,,,,424.31,1,,,,,,,103.5,1,,,,,,,9.93,1,,,,,,,3.11,1,,,,,,
