Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Lutoban Pier,19.42,1,,,,,,,19.5,1,,,,,,,18.33,1,,,,,,,54.75,1,,,,,,,164.42,1,,,,,,,276.42,1,,,,,,,134.67,1,,,,,,,23.61,1,,,,,,,14.92,1,,,,,,
Winter 17/18,Lutoban Pier,18.0,1,,,,,,,27.75,1,,,,,,,20.25,1,,,,,,,30.0,1,,,,,,,119.75,1,,,,,,,215.75,1,,,,,,,236.0,1,,,,,,,6.2,1,,,,,,,4.34,1,,,,,,
Spring 2018,Lutoban Pier,17.89,1,,,,,,,11.22,1,,,,,,,12.44,1,,,,,,,66.11,1,,,,,,,71.56,1,,,,,,,179.22,1,,,,,,,74.8,1,,,,,,,15.69,1,,,,,,,7.72,1,,,,,,
Summer 2018,Lutoban Pier,43.17,1,,,,,,,24.0,1,,,,,,,23.67,1,,,,,,,76.0,1,,,,,,,207.67,1,,,,,,,374.5,1,,,,,,,122.53,1,,,,,,,18.75,1,,,,,,,11.66,1,,,,,,
Autumn 2018,Lutoban Pier,34.0,1,,,,,,,14.0,1,,,,,,,21.14,1,,,,,,,85.14,1,,,,,,,166.43,1,,,,,,,320.71,1,,,,,,,122.83,1,,,,,,,17.0,1,,,,,,,7.15,1,,,,,,
Winter 18/19,Lutoban Pier,19.29,1,,,,,,,17.0,1,,,,,,,14.86,1,,,,,,,98.71,1,,,,,,,92.71,1,,,,,,,242.57,1,,,,,,,90.0,1,,,,,,,12.74,1,,,,,,,3.5,1,,,,,,
Spring 2019,Lutoban Pier,17.82,1,,,,,,,8.82,1,,,,,,,13.18,1,,,,,,,58.64,1,,,,,,,210.36,1,,,,,,,308.82,1,,,,,,,106.65,1,,,,,,,12.3,1,,,,,,,8.74,1,,,,,,
Summer 2019,Lutoban Pier,24.0,1,,,,,,,19.0,1,,,,,,,18.38,1,,,,,,,88.5,1,,,,,,,190.5,1,,,,,,,340.38,1,,,,,,,275.8,1,,,,,,,18.86,1,,,,,,,12.38,1,,,,,,
Autumn 2019,Lutoban Pier,36.0,1,,,,,,,27.33,1,,,,,,,25.83,1,,,,,,,80.83,1,,,,,,,208.0,1,,,,,,,378.0,1,,,,,,,303.4,1,,,,,,,21.91,1,,,,,,,11.15,1,,,,,,
Winter 19/20,Lutoban Pier,24.7,1,,,,,,,24.3,1,,,,,,,17.7,1,,,,,,,53.2,1,,,,,,,110.1,1,,,,,,,230.0,1,,,,,,,138.88,1,,,,,,,6.0,1,,,,,,,3.12,1,,,,,,
