Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Autumn 2017,Maluay Malatapay MPA,13.58,1,,,,,,,26.08,1,,,,,,,16.75,1,,,,,,,78.42,1,,,,,,,94.42,1,,,,,,,229.25,1,,,,,,,319.4,1,,,,,,,26.09,1,,,,,,,21.26,1,,,,,,
Winter 17/18,Maluay Malatapay MPA,11.5,1,,,,,,,16.5,1,,,,,,,16.5,1,,,,,,,97.5,1,,,,,,,85.0,1,,,,,,,227.0,1,,,,,,,161.67,1,,,,,,,12.05,1,,,,,,,10.28,1,,,,,,
Spring 2018,Maluay Malatapay MPA,18.08,1,,,,,,,20.08,1,,,,,,,13.75,1,,,,,,,50.17,1,,,,,,,111.33,1,,,,,,,213.42,1,,,,,,,108.33,1,,,,,,,9.85,1,,,,,,,7.71,1,,,,,,
Summer 2018,Maluay Malatapay MPA,22.0,1,,,,,,,28.25,1,,,,,,,22.0,1,,,,,,,49.25,1,,,,,,,153.75,1,,,,,,,275.25,1,,,,,,,319.25,1,,,,,,,20.67,1,,,,,,,15.04,1,,,,,,
Autumn 2018,Maluay Malatapay MPA,32.2,1,,,,,,,46.2,1,,,,,,,41.8,1,,,,,,,350.6,1,,,,,,,320.8,1,,,,,,,791.6,1,,,,,,,89.44,1,,,,,,,41.37,1,,,,,,,34.03,1,,,,,,
Winter 18/19,Maluay Malatapay MPA,33.17,1,,,,,,,31.5,1,,,,,,,17.83,1,,,,,,,107.33,1,,,,,,,173.5,1,,,,,,,363.33,1,,,,,,,8.0,1,,,,,,,31.79,1,,,,,,,29.22,1,,,,,,
Spring 2019,Maluay Malatapay MPA,14.5,1,,,,,,,16.9,1,,,,,,,13.3,1,,,,,,,124.2,1,,,,,,,276.3,1,,,,,,,445.2,1,,,,,,,137.22,1,,,,,,,10.57,1,,,,,,,9.1,1,,,,,,
Summer 2019,Maluay Malatapay MPA,29.0,1,,,,,,,35.43,1,,,,,,,42.43,1,,,,,,,36.86,1,,,,,,,368.0,1,,,,,,,511.71,1,,,,,,,37.0,1,,,,,,,18.61,1,,,,,,,15.34,1,,,,,,
Autumn 2019,Maluay Malatapay MPA,9.6,1,,,,,,,19.85,1,,,,,,,11.55,1,,,,,,,13.25,1,,,,,,,163.2,1,,,,,,,217.45,1,,,,,,,183.08,1,,,,,,,5.23,1,,,,,,,4.24,1,,,,,,
Winter 19/20,Maluay Malatapay MPA,19.58,1,,,,,,,45.33,1,,,,,,,22.83,1,,,,,,,90.58,1,,,,,,,199.75,1,,,,,,,378.08,1,,,,,,,375.4,1,,,,,,,14.06,1,,,,,,,11.82,1,,,,,,
