Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Andulay MPA,2.25,1,,,,,,,0.5,1,,,,,,,3.75,1,,,,,,,7.25,1,,,,,,,70.0,1,,,,,,,83.75,1,,,,,,
Autumn 2017,Andulay MPA,1.33,1,,,,,,,2.6,1,,,,,,,3.4,1,,,,,,,15.93,1,,,,,,,40.13,1,,,,,,,63.4,1,,,,,,
Winter 17/18,Andulay MPA,0.25,1,,,,,,,1.12,1,,,,,,,2.88,1,,,,,,,14.75,1,,,,,,,40.5,1,,,,,,,59.5,1,,,,,,
Spring 2018,Andulay MPA,0.76,1,,,,,,,1.68,1,,,,,,,2.68,1,,,,,,,10.88,1,,,,,,,39.4,1,,,,,,,55.4,1,,,,,,
Summer 2018,Andulay MPA,0.46,1,,,,,,,2.46,1,,,,,,,1.69,1,,,,,,,9.54,1,,,,,,,21.15,1,,,,,,,35.31,1,,,,,,
Autumn 2018,Andulay MPA,0.71,1,,,,,,,1.71,1,,,,,,,6.57,1,,,,,,,17.0,1,,,,,,,18.0,1,,,,,,,44.0,1,,,,,,
Winter 18/19,Andulay MPA,0.32,1,,,,,,,0.77,1,,,,,,,2.23,1,,,,,,,7.14,1,,,,,,,14.36,1,,,,,,,24.82,1,,,,,,
Spring 2019,Andulay MPA,0.38,1,,,,,,,1.0,1,,,,,,,3.24,1,,,,,,,12.52,1,,,,,,,39.86,1,,,,,,,57.0,1,,,,,,
Summer 2019,Andulay MPA,0.89,1,,,,,,,2.22,1,,,,,,,5.39,1,,,,,,,12.89,1,,,,,,,32.78,1,,,,,,,54.17,1,,,,,,
Autumn 2019,Andulay MPA,0.94,1,,,,,,,1.81,1,,,,,,,5.38,1,,,,,,,13.62,1,,,,,,,30.44,1,,,,,,,52.19,1,,,,,,
Winter 19/20,Andulay MPA,0.36,1,,,,,,,1.56,1,,,,,,,2.72,1,,,,,,,8.44,1,,,,,,,10.8,1,,,,,,,23.88,1,,,,,,
Spring 2022,Andulay MPA,0.5,1,,,,,,,1.5,1,,,,,,,3.5,1,,,,,,,8.33,1,,,,,,,23.83,1,,,,,,,37.67,1,,,,,,
Summer 2022,Andulay MPA,2.29,1,,,,,,,1.76,1,,,,,,,4.18,1,,,,,,,10.24,1,,,,,,,39.35,1,,,,,,,57.82,1,,,,,,
Autumn 2022,Andulay MPA,1.0,1,,,,,,,2.33,1,,,,,,,4.75,1,,,,,,,14.33,1,,,,,,,22.25,1,,,,,,,44.67,1,,,,,,
Winter 22/23,Andulay MPA,0.82,1,,,,,,,2.27,1,,,,,,,3.45,1,,,,,,,12.82,1,,,,,,,19.64,1,,,,,,,39.0,1,,,,,,
Spring 2023,Andulay MPA,1.75,1,,,,,,,2.7,1,,,,,,,4.8,1,,,,,,,15.8,1,,,,,,,28.0,1,,,,,,,53.05,1,,,,,,
Summer 2023,Andulay MPA,1.15,1,,,,,,,2.0,1,,,,,,,5.05,1,,,,,,,13.75,1,,,,,,,31.6,1,,,,,,,53.55,1,,,,,,
Autumn 2023,Andulay MPA,0.67,1,,,,,,,2.25,1,,,,,,,4.17,1,,,,,,,10.33,1,,,,,,,28.5,1,,,,,,,45.92,1,,,,,,
Winter 23/24,Andulay MPA,1.62,1,,,,,,,4.0,1,,,,,,,3.85,1,,,,,,,15.46,1,,,,,,,25.08,1,,,,,,,50.0,1,,,,,,
Spring 2024,Andulay MPA,1.1,1,,,,,,,3.0,1,,,,,,,6.4,1,,,,,,,14.2,1,,,,,,,30.9,1,,,,,,,55.6,1,,,,,,
Summer 2024,Andulay MPA,1.45,1,,,,,,,2.09,1,,,,,,,5.55,1,,,,,,,17.27,1,,,,,,,54.18,1,,,,,,,80.55,1,,,,,,
Autumn 2024,Andulay MPA,1.19,1,,,,,,,1.75,1,,,,,,,4.81,1,,,,,,,13.75,1,,,,,,,28.12,1,,,,,,,49.62,1,,,,,,
Winter 24/25,Andulay MPA,0.89,1,,,,,,,1.79,1,,,,,,,3.26,1,,,,,,,10.32,1,,,,,,,18.0,1,,,,,,,34.26,1,,,,,,
Spring 2025,Andulay MPA,1.32,1,,,,,,,2.63,1,,,,,,,4.21,1,,,,,,,12.05,1,,,,,,,26.21,1,,,,,,,46.42,1,,,,,,
Summer 2025,Andulay MPA,1.7,1,,,,,,,3.56,1,,,,,,,3.74,1,,,,,,,12.3,1,,,,,,,23.0,1,,,,,,,44.3,1,,,,,,
