Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Autumn 2017,Antulang,2.25,1,,,,,,,4.0,1,,,,,,,8.25,1,,,,,,,22.5,1,,,,,,,99.75,1,,,,,,,136.75,1,,,,,,
Winter 17/18,Antulang,0.93,1,,,,,,,0.86,1,,,,,,,1.93,1,,,,,,,11.71,1,,,,,,,35.43,1,,,,,,,50.86,1,,,,,,
Spring 2018,Antulang,1.07,1,,,,,,,2.27,1,,,,,,,2.67,1,,,,,,,10.33,1,,,,,,,31.07,1,,,,,,,47.4,1,,,,,,
Summer 2018,Antulang,0.95,1,,,,,,,2.41,1,,,,,,,2.23,1,,,,,,,10.05,1,,,,,,,17.23,1,,,,,,,32.86,1,,,,,,
Autumn 2018,Antulang,1.33,1,,,,,,,2.44,1,,,,,,,6.78,1,,,,,,,14.44,1,,,,,,,15.78,1,,,,,,,40.78,1,,,,,,
Spring 2019,Antulang,1.09,1,,,,,,,5.43,1,,,,,,,3.57,1,,,,,,,13.13,1,,,,,,,32.61,1,,,,,,,55.83,1,,,,,,
Summer 2019,Antulang,1.0,1,,,,,,,2.57,1,,,,,,,3.71,1,,,,,,,11.29,1,,,,,,,43.14,1,,,,,,,61.71,1,,,,,,
Autumn 2019,Antulang,1.12,1,,,,,,,3.12,1,,,,,,,2.65,1,,,,,,,8.94,1,,,,,,,15.82,1,,,,,,,31.65,1,,,,,,
Winter 19/20,Antulang,0.57,1,,,,,,,2.0,1,,,,,,,2.57,1,,,,,,,10.0,1,,,,,,,7.43,1,,,,,,,22.57,1,,,,,,
Summer 2022,Antulang,0.5,1,,,,,,,3.0,1,,,,,,,2.5,1,,,,,,,11.0,1,,,,,,,40.25,1,,,,,,,57.25,1,,,,,,
Autumn 2022,Antulang,1.08,1,,,,,,,3.23,1,,,,,,,3.92,1,,,,,,,15.0,1,,,,,,,13.15,1,,,,,,,36.38,1,,,,,,
Winter 22/23,Antulang,1.45,1,,,,,,,2.36,1,,,,,,,5.36,1,,,,,,,15.82,1,,,,,,,19.0,1,,,,,,,44.0,1,,,,,,
Spring 2023,Antulang,0.58,1,,,,,,,2.26,1,,,,,,,4.0,1,,,,,,,16.89,1,,,,,,,20.58,1,,,,,,,44.32,1,,,,,,
Summer 2023,Antulang,1.33,1,,,,,,,3.83,1,,,,,,,4.17,1,,,,,,,13.0,1,,,,,,,22.5,1,,,,,,,44.83,1,,,,,,
Autumn 2023,Antulang,1.0,1,,,,,,,5.45,1,,,,,,,4.09,1,,,,,,,14.09,1,,,,,,,18.18,1,,,,,,,42.82,1,,,,,,
Winter 23/24,Antulang,1.15,1,,,,,,,5.15,1,,,,,,,3.85,1,,,,,,,12.62,1,,,,,,,22.54,1,,,,,,,45.31,1,,,,,,
Spring 2024,Antulang,1.58,1,,,,,,,5.92,1,,,,,,,5.17,1,,,,,,,15.25,1,,,,,,,29.67,1,,,,,,,57.58,1,,,,,,
Summer 2024,Antulang,1.7,1,,,,,,,3.5,1,,,,,,,4.9,1,,,,,,,14.9,1,,,,,,,31.1,1,,,,,,,56.1,1,,,,,,
Autumn 2024,Antulang,1.09,1,,,,,,,2.64,1,,,,,,,4.45,1,,,,,,,15.36,1,,,,,,,26.82,1,,,,,,,50.36,1,,,,,,
Winter 24/25,Antulang,2.11,1,,,,,,,3.0,1,,,,,,,2.89,1,,,,,,,13.44,1,,,,,,,22.22,1,,,,,,,43.67,1,,,,,,
Spring 2025,Antulang,1.79,1,,,,,,,4.47,1,,,,,,,3.79,1,,,,,,,14.05,1,,,,,,,30.95,1,,,,,,,55.05,1,,,,,,
Summer 2025,Antulang,0.83,1,,,,,,,3.78,1,,,,,,,3.06,1,,,,,,,13.72,1,,,,,,,18.61,1,,,,,,,40.0,1,,,,,,
