Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Basak Can-Unsang MPA,1.67,1,,,,,,,5.67,1,,,,,,,5.33,1,,,,,,,9.33,1,,,,,,,6.33,1,,,,,,,28.33,1,,,,,,
Autumn 2017,Basak Can-Unsang MPA,4.2,1,,,,,,,3.4,1,,,,,,,3.53,1,,,,,,,13.07,1,,,,,,,2.47,1,,,,,,,26.67,1,,,,,,
Winter 17/18,Basak Can-Unsang MPA,2.5,1,,,,,,,1.0,1,,,,,,,2.0,1,,,,,,,8.5,1,,,,,,,1.5,1,,,,,,,15.5,1,,,,,,
Spring 2018,Basak Can-Unsang MPA,1.95,1,,,,,,,1.71,1,,,,,,,0.38,1,,,,,,,8.67,1,,,,,,,4.0,1,,,,,,,16.71,1,,,,,,
Summer 2018,Basak Can-Unsang MPA,1.23,1,,,,,,,3.46,1,,,,,,,1.38,1,,,,,,,7.92,1,,,,,,,3.15,1,,,,,,,17.15,1,,,,,,
Autumn 2018,Basak Can-Unsang MPA,1.1,1,,,,,,,2.2,1,,,,,,,1.3,1,,,,,,,11.2,1,,,,,,,0.8,1,,,,,,,16.6,1,,,,,,
Winter 18/19,Basak Can-Unsang MPA,2.14,1,,,,,,,4.36,1,,,,,,,1.93,1,,,,,,,16.93,1,,,,,,,1.0,1,,,,,,,26.36,1,,,,,,
Spring 2019,Basak Can-Unsang MPA,1.21,1,,,,,,,6.29,1,,,,,,,3.07,1,,,,,,,15.71,1,,,,,,,3.5,1,,,,,,,29.79,1,,,,,,
Summer 2019,Basak Can-Unsang MPA,1.42,1,,,,,,,2.63,1,,,,,,,1.42,1,,,,,,,12.89,1,,,,,,,2.95,1,,,,,,,21.32,1,,,,,,
Autumn 2019,Basak Can-Unsang MPA,0.94,1,,,,,,,2.5,1,,,,,,,2.62,1,,,,,,,9.25,1,,,,,,,3.06,1,,,,,,,18.38,1,,,,,,
Winter 19/20,Basak Can-Unsang MPA,0.67,1,,,,,,,1.57,1,,,,,,,1.14,1,,,,,,,7.57,1,,,,,,,0.67,1,,,,,,,11.62,1,,,,,,
Spring 2022,Basak Can-Unsang MPA,2.0,1,,,,,,,5.27,1,,,,,,,2.09,1,,,,,,,16.91,1,,,,,,,11.82,1,,,,,,,38.09,1,,,,,,
Summer 2022,Basak Can-Unsang MPA,1.26,1,,,,,,,1.26,1,,,,,,,2.84,1,,,,,,,15.89,1,,,,,,,9.05,1,,,,,,,30.32,1,,,,,,
Autumn 2022,Basak Can-Unsang MPA,1.09,1,,,,,,,4.0,1,,,,,,,3.18,1,,,,,,,25.09,1,,,,,,,3.27,1,,,,,,,36.64,1,,,,,,
Winter 22/23,Basak Can-Unsang MPA,0.73,1,,,,,,,3.27,1,,,,,,,3.27,1,,,,,,,19.0,1,,,,,,,4.36,1,,,,,,,30.64,1,,,,,,
Spring 2023,Basak Can-Unsang MPA,1.71,1,,,,,,,3.62,1,,,,,,,3.79,1,,,,,,,21.33,1,,,,,,,4.88,1,,,,,,,35.33,1,,,,,,
Summer 2023,Basak Can-Unsang MPA,1.39,1,,,,,,,3.11,1,,,,,,,4.17,1,,,,,,,24.06,1,,,,,,,4.61,1,,,,,,,37.33,1,,,,,,
Autumn 2023,Basak Can-Unsang MPA,0.83,1,,,,,,,2.67,1,,,,,,,3.17,1,,,,,,,22.0,1,,,,,,,4.83,1,,,,,,,33.5,1,,,,,,
Winter 23/24,Basak Can-Unsang MPA,0.85,1,,,,,,,3.69,1,,,,,,,3.31,1,,,,,,,22.54,1,,,,,,,3.77,1,,,,,,,34.15,1,,,,,,
Spring 2024,Basak Can-Unsang MPA,0.75,1,,,,,,,3.62,1,,,,,,,4.0,1,,,,,,,24.5,1,,,,,,,13.25,1,,,,,,,46.12,1,,,,,,
Summer 2024,Basak Can-Unsang MPA,1.89,1,,,,,,,3.44,1,,,,,,,5.0,1,,,,,,,22.22,1,,,,,,,6.78,1,,,,,,,39.33,1,,,,,,
Autumn 2024,Basak Can-Unsang MPA,2.1,1,,,,,,,2.8,1,,,,,,,5.1,1,,,,,,,14.3,1,,,,,,,4.1,1,,,,,,,28.4,1,,,,,,
Winter 24/25,Basak Can-Unsang MPA,1.0,1,,,,,,,1.92,1,,,,,,,5.67,1,,,,,,,16.33,1,,,,,,,1.83,1,,,,,,,26.75,1,,,,,,
Spring 2025,Basak Can-Unsang MPA,1.83,1,,,,,,,5.5,1,,,,,,,4.5,1,,,,,,,18.08,1,,,,,,,9.25,1,,,,,,,39.17,1,,,,,,
Summer 2025,Basak Can-Unsang MPA,1.29,1,,,,,,,2.57,1,,,,,,,2.29,1,,,,,,,16.57,1,,,,,,,2.29,1,,,,,,,25.0,1,,,,,,
