Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Spring 2019,Dalakit MPA,1.0,1,,,,,,,0.67,1,,,,,,,19.67,1,,,,,,,17.0,1,,,,,,,77.67,1,,,,,,,116.0,1,,,,,,
Summer 2019,Dalakit MPA,0.25,1,,,,,,,0.0,1,,,,,,,5.5,1,,,,,,,12.5,1,,,,,,,63.75,1,,,,,,,82.0,1,,,,,,
Autumn 2019,Dalakit MPA,2.0,1,,,,,,,0.5,1,,,,,,,6.5,1,,,,,,,12.0,1,,,,,,,23.75,1,,,,,,,44.75,1,,,,,,
Winter 19/20,Dalakit MPA,0.0,1,,,,,,,0.4,1,,,,,,,3.0,1,,,,,,,8.4,1,,,,,,,28.6,1,,,,,,,40.4,1,,,,,,
Spring 2022,Dalakit MPA,2.5,1,,,,,,,1.0,1,,,,,,,22.0,1,,,,,,,21.5,1,,,,,,,58.5,1,,,,,,,105.5,1,,,,,,
Summer 2022,Dalakit MPA,1.0,1,,,,,,,3.0,1,,,,,,,11.0,1,,,,,,,15.0,1,,,,,,,50.0,1,,,,,,,80.0,1,,,,,,
Autumn 2022,Dalakit MPA,2.5,1,,,,,,,2.0,1,,,,,,,8.0,1,,,,,,,26.5,1,,,,,,,47.0,1,,,,,,,86.0,1,,,,,,
Winter 22/23,Dalakit MPA,2.4,1,,,,,,,0.4,1,,,,,,,11.2,1,,,,,,,11.2,1,,,,,,,50.4,1,,,,,,,75.6,1,,,,,,
Spring 2023,Dalakit MPA,0.75,1,,,,,,,0.5,1,,,,,,,12.5,1,,,,,,,12.75,1,,,,,,,63.0,1,,,,,,,89.5,1,,,,,,
Summer 2023,Dalakit MPA,0.6,1,,,,,,,0.0,1,,,,,,,10.6,1,,,,,,,13.6,1,,,,,,,57.4,1,,,,,,,82.2,1,,,,,,
Autumn 2023,Dalakit MPA,1.33,1,,,,,,,0.0,1,,,,,,,5.0,1,,,,,,,11.0,1,,,,,,,22.33,1,,,,,,,39.67,1,,,,,,
Winter 23/24,Dalakit MPA,0.75,1,,,,,,,0.5,1,,,,,,,8.5,1,,,,,,,9.5,1,,,,,,,54.0,1,,,,,,,73.25,1,,,,,,
Spring 2024,Dalakit MPA,1.0,1,,,,,,,0.0,1,,,,,,,7.5,1,,,,,,,13.0,1,,,,,,,46.5,1,,,,,,,68.0,1,,,,,,
Summer 2024,Dalakit MPA,2.0,1,,,,,,,1.0,1,,,,,,,9.5,1,,,,,,,17.5,1,,,,,,,72.0,1,,,,,,,102.0,1,,,,,,
Autumn 2024,Dalakit MPA,0.0,1,,,,,,,0.5,1,,,,,,,10.25,1,,,,,,,14.5,1,,,,,,,20.75,1,,,,,,,46.0,1,,,,,,
Winter 24/25,Dalakit MPA,0.25,1,,,,,,,0.75,1,,,,,,,7.5,1,,,,,,,7.75,1,,,,,,,14.75,1,,,,,,,31.0,1,,,,,,
Spring 2025,Dalakit MPA,1.2,1,,,,,,,2.4,1,,,,,,,7.0,1,,,,,,,10.6,1,,,,,,,32.8,1,,,,,,,54.0,1,,,,,,
Summer 2025,Dalakit MPA,1.5,1,,,,,,,2.67,1,,,,,,,11.33,1,,,,,,,10.17,1,,,,,,,21.5,1,,,,,,,47.17,1,,,,,,
