Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Guinsuan MPA,1.5,1,,,,,,,9.0,1,,,,,,,1.0,1,,,,,,,35.0,1,,,,,,,23.5,1,,,,,,,70.0,1,,,,,,
Autumn 2017,Guinsuan MPA,1.53,1,,,,,,,4.12,1,,,,,,,0.94,1,,,,,,,15.06,1,,,,,,,6.06,1,,,,,,,27.71,1,,,,,,
Winter 17/18,Guinsuan MPA,2.0,1,,,,,,,6.71,1,,,,,,,2.43,1,,,,,,,12.86,1,,,,,,,2.0,1,,,,,,,26.0,1,,,,,,
Spring 2018,Guinsuan MPA,0.33,1,,,,,,,3.93,1,,,,,,,0.4,1,,,,,,,9.33,1,,,,,,,1.8,1,,,,,,,15.8,1,,,,,,
Summer 2018,Guinsuan MPA,1.32,1,,,,,,,10.18,1,,,,,,,0.59,1,,,,,,,9.27,1,,,,,,,3.64,1,,,,,,,25.0,1,,,,,,
Autumn 2018,Guinsuan MPA,0.77,1,,,,,,,7.27,1,,,,,,,0.91,1,,,,,,,6.82,1,,,,,,,2.64,1,,,,,,,18.41,1,,,,,,
Winter 18/19,Guinsuan MPA,1.62,1,,,,,,,3.69,1,,,,,,,1.69,1,,,,,,,12.23,1,,,,,,,1.85,1,,,,,,,21.08,1,,,,,,
Spring 2019,Guinsuan MPA,0.77,1,,,,,,,6.46,1,,,,,,,2.23,1,,,,,,,12.15,1,,,,,,,2.62,1,,,,,,,24.23,1,,,,,,
Summer 2019,Guinsuan MPA,1.17,1,,,,,,,5.92,1,,,,,,,1.0,1,,,,,,,12.58,1,,,,,,,3.33,1,,,,,,,24.0,1,,,,,,
Autumn 2019,Guinsuan MPA,0.75,1,,,,,,,4.81,1,,,,,,,2.81,1,,,,,,,12.69,1,,,,,,,21.81,1,,,,,,,42.88,1,,,,,,
Winter 19/20,Guinsuan MPA,0.73,1,,,,,,,2.27,1,,,,,,,0.81,1,,,,,,,6.81,1,,,,,,,2.69,1,,,,,,,13.31,1,,,,,,
Spring 2022,Guinsuan MPA,1.0,1,,,,,,,5.33,1,,,,,,,2.44,1,,,,,,,19.78,1,,,,,,,9.89,1,,,,,,,38.44,1,,,,,,
Summer 2022,Guinsuan MPA,1.0,1,,,,,,,7.69,1,,,,,,,1.69,1,,,,,,,26.0,1,,,,,,,7.38,1,,,,,,,43.77,1,,,,,,
Autumn 2022,Guinsuan MPA,0.38,1,,,,,,,4.85,1,,,,,,,1.62,1,,,,,,,16.15,1,,,,,,,1.38,1,,,,,,,24.38,1,,,,,,
Winter 22/23,Guinsuan MPA,0.85,1,,,,,,,2.92,1,,,,,,,3.38,1,,,,,,,19.46,1,,,,,,,2.77,1,,,,,,,29.38,1,,,,,,
Spring 2023,Guinsuan MPA,1.47,1,,,,,,,3.26,1,,,,,,,4.0,1,,,,,,,22.74,1,,,,,,,18.32,1,,,,,,,49.79,1,,,,,,
Summer 2023,Guinsuan MPA,1.28,1,,,,,,,5.0,1,,,,,,,3.17,1,,,,,,,23.89,1,,,,,,,32.61,1,,,,,,,65.94,1,,,,,,
Autumn 2023,Guinsuan MPA,1.25,1,,,,,,,8.75,1,,,,,,,0.5,1,,,,,,,25.5,1,,,,,,,0.75,1,,,,,,,36.75,1,,,,,,
Winter 23/24,Guinsuan MPA,0.6,1,,,,,,,3.5,1,,,,,,,3.1,1,,,,,,,19.1,1,,,,,,,2.2,1,,,,,,,28.5,1,,,,,,
Spring 2024,Guinsuan MPA,0.43,1,,,,,,,4.86,1,,,,,,,4.43,1,,,,,,,22.29,1,,,,,,,10.71,1,,,,,,,42.71,1,,,,,,
Summer 2024,Guinsuan MPA,0.4,1,,,,,,,11.2,1,,,,,,,4.0,1,,,,,,,20.0,1,,,,,,,3.2,1,,,,,,,38.8,1,,,,,,
Autumn 2024,Guinsuan MPA,0.75,1,,,,,,,1.92,1,,,,,,,3.83,1,,,,,,,14.0,1,,,,,,,3.33,1,,,,,,,23.83,1,,,,,,
Winter 24/25,Guinsuan MPA,1.0,1,,,,,,,1.25,1,,,,,,,2.25,1,,,,,,,13.83,1,,,,,,,4.25,1,,,,,,,22.58,1,,,,,,
Spring 2025,Guinsuan MPA,0.5,1,,,,,,,3.67,1,,,,,,,2.5,1,,,,,,,13.0,1,,,,,,,5.42,1,,,,,,,25.08,1,,,,,,
Summer 2025,Guinsuan MPA,0.79,1,,,,,,,4.36,1,,,,,,,2.0,1,,,,,,,15.07,1,,,,,,,2.71,1,,,,,,,24.93,1,,,,,,
