Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Kookoos,0.75,1,,,,,,,1.75,1,,,,,,,3.38,1,,,,,,,8.0,1,,,,,,,61.75,1,,,,,,,75.62,1,,,,,,
Autumn 2017,Kookoos,2.27,1,,,,,,,3.18,1,,,,,,,1.73,1,,,,,,,10.73,1,,,,,,,10.45,1,,,,,,,28.36,1,,,,,,
Winter 17/18,Kookoos,1.57,1,,,,,,,2.43,1,,,,,,,3.14,1,,,,,,,6.29,1,,,,,,,11.86,1,,,,,,,25.29,1,,,,,,
Spring 2018,Kookoos,1.08,1,,,,,,,3.46,1,,,,,,,1.92,1,,,,,,,8.54,1,,,,,,,33.08,1,,,,,,,48.08,1,,,,,,
Summer 2018,Kookoos,0.62,1,,,,,,,1.9,1,,,,,,,1.43,1,,,,,,,5.48,1,,,,,,,9.9,1,,,,,,,19.33,1,,,,,,
Autumn 2018,Kookoos,0.76,1,,,,,,,2.19,1,,,,,,,3.1,1,,,,,,,8.81,1,,,,,,,7.38,1,,,,,,,22.24,1,,,,,,
Winter 18/19,Kookoos,0.33,1,,,,,,,2.28,1,,,,,,,1.11,1,,,,,,,5.22,1,,,,,,,7.06,1,,,,,,,16.0,1,,,,,,
Spring 2019,Kookoos,0.33,1,,,,,,,4.47,1,,,,,,,2.6,1,,,,,,,11.0,1,,,,,,,29.67,1,,,,,,,48.07,1,,,,,,
Summer 2019,Kookoos,0.47,1,,,,,,,3.4,1,,,,,,,1.87,1,,,,,,,9.07,1,,,,,,,21.87,1,,,,,,,36.67,1,,,,,,
Autumn 2019,Kookoos,0.4,1,,,,,,,2.6,1,,,,,,,1.88,1,,,,,,,7.32,1,,,,,,,7.64,1,,,,,,,19.84,1,,,,,,
Winter 19/20,Kookoos,0.18,1,,,,,,,2.0,1,,,,,,,2.09,1,,,,,,,5.18,1,,,,,,,6.36,1,,,,,,,15.82,1,,,,,,
Spring 2022,Kookoos,0.53,1,,,,,,,2.12,1,,,,,,,2.24,1,,,,,,,6.82,1,,,,,,,9.12,1,,,,,,,20.82,1,,,,,,
Summer 2022,Kookoos,0.73,1,,,,,,,1.64,1,,,,,,,2.27,1,,,,,,,7.27,1,,,,,,,10.82,1,,,,,,,22.73,1,,,,,,
Autumn 2022,Kookoos,0.42,1,,,,,,,1.75,1,,,,,,,2.25,1,,,,,,,8.5,1,,,,,,,6.0,1,,,,,,,18.92,1,,,,,,
Winter 22/23,Kookoos,0.8,1,,,,,,,1.3,1,,,,,,,2.5,1,,,,,,,6.15,1,,,,,,,4.7,1,,,,,,,15.45,1,,,,,,
Spring 2023,Kookoos,1.33,1,,,,,,,2.89,1,,,,,,,2.78,1,,,,,,,9.11,1,,,,,,,10.78,1,,,,,,,26.89,1,,,,,,
Summer 2023,Kookoos,1.13,1,,,,,,,2.2,1,,,,,,,2.33,1,,,,,,,9.8,1,,,,,,,7.73,1,,,,,,,23.2,1,,,,,,
Autumn 2023,Kookoos,0.9,1,,,,,,,2.7,1,,,,,,,2.7,1,,,,,,,8.6,1,,,,,,,8.4,1,,,,,,,23.3,1,,,,,,
Winter 23/24,Kookoos,0.67,1,,,,,,,1.92,1,,,,,,,2.08,1,,,,,,,7.0,1,,,,,,,8.0,1,,,,,,,19.67,1,,,,,,
Spring 2024,Kookoos,1.11,1,,,,,,,3.0,1,,,,,,,2.89,1,,,,,,,8.44,1,,,,,,,14.22,1,,,,,,,29.67,1,,,,,,
Summer 2024,Kookoos,1.17,1,,,,,,,2.0,1,,,,,,,5.0,1,,,,,,,11.17,1,,,,,,,15.5,1,,,,,,,34.83,1,,,,,,
Autumn 2024,Kookoos,0.64,1,,,,,,,2.71,1,,,,,,,4.43,1,,,,,,,7.36,1,,,,,,,5.43,1,,,,,,,20.57,1,,,,,,
Winter 24/25,Kookoos,0.83,1,,,,,,,2.72,1,,,,,,,3.39,1,,,,,,,8.39,1,,,,,,,8.39,1,,,,,,,23.72,1,,,,,,
Spring 2025,Kookoos,1.11,1,,,,,,,3.61,1,,,,,,,3.11,1,,,,,,,9.44,1,,,,,,,7.94,1,,,,,,,25.22,1,,,,,,
Summer 2025,Kookoos,1.05,1,,,,,,,2.25,1,,,,,,,2.5,1,,,,,,,10.0,1,,,,,,,9.25,1,,,,,,,25.05,1,,,,,,
