Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Spring 2022,Latason MPA,3.0,1,,,,,,,8.0,1,,,,,,,4.5,1,,,,,,,20.0,1,,,,,,,40.5,1,,,,,,,76.0,1,,,,,,
Summer 2022,Latason MPA,1.2,1,,,,,,,1.4,1,,,,,,,2.8,1,,,,,,,12.8,1,,,,,,,7.8,1,,,,,,,26.0,1,,,,,,
Autumn 2022,Latason MPA,2.83,1,,,,,,,1.83,1,,,,,,,4.83,1,,,,,,,29.33,1,,,,,,,10.67,1,,,,,,,49.5,1,,,,,,
Winter 22/23,Latason MPA,1.0,1,,,,,,,2.57,1,,,,,,,3.57,1,,,,,,,17.29,1,,,,,,,6.71,1,,,,,,,31.14,1,,,,,,
Spring 2023,Latason MPA,1.08,1,,,,,,,5.0,1,,,,,,,5.5,1,,,,,,,11.67,1,,,,,,,12.17,1,,,,,,,35.42,1,,,,,,
Summer 2023,Latason MPA,1.75,1,,,,,,,1.25,1,,,,,,,2.5,1,,,,,,,12.92,1,,,,,,,19.58,1,,,,,,,38.0,1,,,,,,
Autumn 2023,Latason MPA,2.17,1,,,,,,,1.17,1,,,,,,,2.67,1,,,,,,,17.5,1,,,,,,,11.67,1,,,,,,,35.17,1,,,,,,
Winter 23/24,Latason MPA,1.5,1,,,,,,,2.75,1,,,,,,,2.12,1,,,,,,,14.5,1,,,,,,,8.38,1,,,,,,,29.25,1,,,,,,
Spring 2024,Latason MPA,2.25,1,,,,,,,3.25,1,,,,,,,5.0,1,,,,,,,10.75,1,,,,,,,5.0,1,,,,,,,26.25,1,,,,,,
Summer 2024,Latason MPA,2.0,1,,,,,,,2.38,1,,,,,,,5.88,1,,,,,,,12.5,1,,,,,,,8.62,1,,,,,,,31.38,1,,,,,,
Autumn 2024,Latason MPA,1.43,1,,,,,,,1.29,1,,,,,,,5.29,1,,,,,,,10.57,1,,,,,,,8.57,1,,,,,,,27.14,1,,,,,,
Winter 24/25,Latason MPA,1.25,1,,,,,,,1.0,1,,,,,,,2.5,1,,,,,,,9.5,1,,,,,,,7.58,1,,,,,,,21.83,1,,,,,,
Spring 2025,Latason MPA,1.92,1,,,,,,,6.67,1,,,,,,,3.75,1,,,,,,,9.17,1,,,,,,,12.58,1,,,,,,,34.08,1,,,,,,
Summer 2025,Latason MPA,1.82,1,,,,,,,3.32,1,,,,,,,2.64,1,,,,,,,8.5,1,,,,,,,9.0,1,,,,,,,25.27,1,,,,,,
