Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Spring 2018,Lutoban North MPA,0.0,1,,,,,,,5.0,1,,,,,,,1.0,1,,,,,,,7.0,1,,,,,,,31.67,1,,,,,,,44.67,1,,,,,,
Autumn 2019,Lutoban North MPA,0.85,1,,,,,,,0.92,1,,,,,,,3.0,1,,,,,,,4.54,1,,,,,,,30.15,1,,,,,,,39.46,1,,,,,,
Winter 19/20,Lutoban North MPA,0.83,1,,,,,,,2.17,1,,,,,,,4.33,1,,,,,,,7.92,1,,,,,,,33.58,1,,,,,,,48.83,1,,,,,,
Spring 2022,Lutoban North MPA,3.5,1,,,,,,,3.0,1,,,,,,,4.0,1,,,,,,,17.5,1,,,,,,,44.5,1,,,,,,,72.5,1,,,,,,
Summer 2022,Lutoban North MPA,0.8,1,,,,,,,2.4,1,,,,,,,2.6,1,,,,,,,13.33,1,,,,,,,23.87,1,,,,,,,43.0,1,,,,,,
Autumn 2022,Lutoban North MPA,0.92,1,,,,,,,1.77,1,,,,,,,5.15,1,,,,,,,12.62,1,,,,,,,28.38,1,,,,,,,48.85,1,,,,,,
Winter 22/23,Lutoban North MPA,0.83,1,,,,,,,1.83,1,,,,,,,3.5,1,,,,,,,14.92,1,,,,,,,39.0,1,,,,,,,60.08,1,,,,,,
Spring 2023,Lutoban North MPA,1.23,1,,,,,,,2.23,1,,,,,,,3.82,1,,,,,,,15.5,1,,,,,,,35.64,1,,,,,,,58.41,1,,,,,,
Summer 2023,Lutoban North MPA,0.63,1,,,,,,,3.42,1,,,,,,,6.68,1,,,,,,,13.16,1,,,,,,,35.32,1,,,,,,,59.21,1,,,,,,
Autumn 2023,Lutoban North MPA,1.11,1,,,,,,,2.11,1,,,,,,,3.56,1,,,,,,,15.89,1,,,,,,,31.89,1,,,,,,,54.56,1,,,,,,
Winter 23/24,Lutoban North MPA,1.13,1,,,,,,,1.73,1,,,,,,,2.53,1,,,,,,,15.93,1,,,,,,,40.4,1,,,,,,,61.73,1,,,,,,
Spring 2024,Lutoban North MPA,1.0,1,,,,,,,1.8,1,,,,,,,3.2,1,,,,,,,19.2,1,,,,,,,57.0,1,,,,,,,82.2,1,,,,,,
Summer 2024,Lutoban North MPA,0.9,1,,,,,,,4.2,1,,,,,,,9.9,1,,,,,,,22.6,1,,,,,,,54.3,1,,,,,,,91.9,1,,,,,,
Autumn 2024,Lutoban North MPA,1.31,1,,,,,,,1.15,1,,,,,,,3.62,1,,,,,,,16.38,1,,,,,,,35.54,1,,,,,,,58.0,1,,,,,,
Winter 24/25,Lutoban North MPA,1.39,1,,,,,,,1.5,1,,,,,,,3.94,1,,,,,,,12.89,1,,,,,,,39.78,1,,,,,,,59.5,1,,,,,,
Spring 2025,Lutoban North MPA,1.21,1,,,,,,,1.89,1,,,,,,,3.11,1,,,,,,,12.89,1,,,,,,,35.37,1,,,,,,,54.47,1,,,,,,
Summer 2025,Lutoban North MPA,1.36,1,,,,,,,3.32,1,,,,,,,3.6,1,,,,,,,15.2,1,,,,,,,34.2,1,,,,,,,57.68,1,,,,,,
