Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Lutoban South MPA,1.2,1,,,,,,,1.2,1,,,,,,,2.2,1,,,,,,,9.6,1,,,,,,,106.6,1,,,,,,,120.8,1,,,,,,
Autumn 2017,Lutoban South MPA,1.22,1,,,,,,,3.44,1,,,,,,,2.89,1,,,,,,,13.89,1,,,,,,,82.83,1,,,,,,,104.28,1,,,,,,
Winter 17/18,Lutoban South MPA,0.64,1,,,,,,,1.27,1,,,,,,,1.18,1,,,,,,,6.27,1,,,,,,,41.27,1,,,,,,,50.64,1,,,,,,
Spring 2018,Lutoban South MPA,1.04,1,,,,,,,4.65,1,,,,,,,1.13,1,,,,,,,10.09,1,,,,,,,55.78,1,,,,,,,72.7,1,,,,,,
Summer 2018,Lutoban South MPA,1.0,1,,,,,,,1.5,1,,,,,,,0.75,1,,,,,,,4.92,1,,,,,,,30.75,1,,,,,,,38.92,1,,,,,,
Autumn 2018,Lutoban South MPA,0.69,1,,,,,,,2.81,1,,,,,,,1.56,1,,,,,,,7.94,1,,,,,,,33.69,1,,,,,,,46.69,1,,,,,,
Winter 18/19,Lutoban South MPA,1.24,1,,,,,,,1.65,1,,,,,,,1.53,1,,,,,,,10.35,1,,,,,,,31.12,1,,,,,,,45.88,1,,,,,,
Spring 2019,Lutoban South MPA,0.75,1,,,,,,,0.9,1,,,,,,,1.65,1,,,,,,,10.85,1,,,,,,,43.45,1,,,,,,,57.6,1,,,,,,
Summer 2019,Lutoban South MPA,0.57,1,,,,,,,3.07,1,,,,,,,2.6,1,,,,,,,12.23,1,,,,,,,42.9,1,,,,,,,61.37,1,,,,,,
Autumn 2019,Lutoban South MPA,0.68,1,,,,,,,2.68,1,,,,,,,4.64,1,,,,,,,13.45,1,,,,,,,51.5,1,,,,,,,72.95,1,,,,,,
Winter 19/20,Lutoban South MPA,0.44,1,,,,,,,1.74,1,,,,,,,1.74,1,,,,,,,6.63,1,,,,,,,24.85,1,,,,,,,35.41,1,,,,,,
Spring 2022,Lutoban South MPA,0.62,1,,,,,,,2.81,1,,,,,,,3.0,1,,,,,,,13.5,1,,,,,,,48.31,1,,,,,,,68.25,1,,,,,,
Summer 2022,Lutoban South MPA,1.38,1,,,,,,,3.62,1,,,,,,,2.62,1,,,,,,,16.0,1,,,,,,,63.44,1,,,,,,,87.06,1,,,,,,
Autumn 2022,Lutoban South MPA,1.13,1,,,,,,,1.4,1,,,,,,,4.8,1,,,,,,,15.07,1,,,,,,,38.67,1,,,,,,,61.07,1,,,,,,
Winter 22/23,Lutoban South MPA,0.5,1,,,,,,,2.33,1,,,,,,,3.75,1,,,,,,,13.08,1,,,,,,,26.33,1,,,,,,,46.0,1,,,,,,
Spring 2023,Lutoban South MPA,0.94,1,,,,,,,2.11,1,,,,,,,5.5,1,,,,,,,15.17,1,,,,,,,27.67,1,,,,,,,51.39,1,,,,,,
Summer 2023,Lutoban South MPA,0.94,1,,,,,,,2.47,1,,,,,,,5.41,1,,,,,,,15.35,1,,,,,,,26.47,1,,,,,,,50.65,1,,,,,,
Autumn 2023,Lutoban South MPA,1.2,1,,,,,,,3.2,1,,,,,,,5.3,1,,,,,,,14.2,1,,,,,,,27.2,1,,,,,,,51.1,1,,,,,,
Winter 23/24,Lutoban South MPA,1.58,1,,,,,,,3.08,1,,,,,,,4.33,1,,,,,,,17.08,1,,,,,,,27.33,1,,,,,,,53.42,1,,,,,,
Spring 2024,Lutoban South MPA,0.67,1,,,,,,,2.17,1,,,,,,,6.42,1,,,,,,,17.83,1,,,,,,,35.75,1,,,,,,,62.83,1,,,,,,
Summer 2024,Lutoban South MPA,0.85,1,,,,,,,2.23,1,,,,,,,5.77,1,,,,,,,16.69,1,,,,,,,39.54,1,,,,,,,65.08,1,,,,,,
Autumn 2024,Lutoban South MPA,1.14,1,,,,,,,1.64,1,,,,,,,4.36,1,,,,,,,12.93,1,,,,,,,23.29,1,,,,,,,43.36,1,,,,,,
Winter 24/25,Lutoban South MPA,1.32,1,,,,,,,1.58,1,,,,,,,2.16,1,,,,,,,11.58,1,,,,,,,23.89,1,,,,,,,40.53,1,,,,,,
Spring 2025,Lutoban South MPA,1.3,1,,,,,,,2.95,1,,,,,,,2.5,1,,,,,,,15.05,1,,,,,,,28.45,1,,,,,,,50.25,1,,,,,,
Summer 2025,Lutoban South MPA,1.19,1,,,,,,,2.73,1,,,,,,,2.58,1,,,,,,,13.69,1,,,,,,,28.12,1,,,,,,,48.31,1,,,,,,
