Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Summer 2017,Maluay Malatapay MPA,0.0,1,,,,,,,3.33,1,,,,,,,3.33,1,,,,,,,7.0,1,,,,,,,15.67,1,,,,,,,29.33,1,,,,,,
Autumn 2017,Maluay Malatapay MPA,0.96,1,,,,,,,2.88,1,,,,,,,1.71,1,,,,,,,8.46,1,,,,,,,7.62,1,,,,,,,21.62,1,,,,,,
Winter 17/18,Maluay Malatapay MPA,1.5,1,,,,,,,2.5,1,,,,,,,4.5,1,,,,,,,23.0,1,,,,,,,32.0,1,,,,,,,63.5,1,,,,,,
Spring 2018,Maluay Malatapay MPA,1.67,1,,,,,,,3.89,1,,,,,,,0.78,1,,,,,,,7.44,1,,,,,,,7.44,1,,,,,,,21.22,1,,,,,,
Summer 2018,Maluay Malatapay MPA,1.58,1,,,,,,,5.42,1,,,,,,,1.08,1,,,,,,,9.5,1,,,,,,,20.0,1,,,,,,,37.58,1,,,,,,
Autumn 2018,Maluay Malatapay MPA,0.77,1,,,,,,,4.31,1,,,,,,,1.0,1,,,,,,,11.31,1,,,,,,,16.46,1,,,,,,,33.85,1,,,,,,
Winter 18/19,Maluay Malatapay MPA,0.57,1,,,,,,,3.33,1,,,,,,,1.05,1,,,,,,,8.52,1,,,,,,,6.67,1,,,,,,,20.14,1,,,,,,
Spring 2019,Maluay Malatapay MPA,0.68,1,,,,,,,2.27,1,,,,,,,2.09,1,,,,,,,7.91,1,,,,,,,13.55,1,,,,,,,26.5,1,,,,,,
Summer 2019,Maluay Malatapay MPA,1.45,1,,,,,,,2.1,1,,,,,,,1.9,1,,,,,,,11.45,1,,,,,,,15.65,1,,,,,,,32.55,1,,,,,,
Autumn 2019,Maluay Malatapay MPA,0.76,1,,,,,,,1.76,1,,,,,,,3.0,1,,,,,,,10.19,1,,,,,,,12.95,1,,,,,,,28.67,1,,,,,,
Winter 19/20,Maluay Malatapay MPA,0.62,1,,,,,,,2.59,1,,,,,,,1.03,1,,,,,,,9.1,1,,,,,,,9.52,1,,,,,,,22.86,1,,,,,,
Spring 2022,Maluay Malatapay MPA,0.45,1,,,,,,,5.69,1,,,,,,,1.76,1,,,,,,,8.69,1,,,,,,,29.1,1,,,,,,,45.69,1,,,,,,
Summer 2022,Maluay Malatapay MPA,0.47,1,,,,,,,1.41,1,,,,,,,3.06,1,,,,,,,12.29,1,,,,,,,15.59,1,,,,,,,32.82,1,,,,,,
Autumn 2022,Maluay Malatapay MPA,1.17,1,,,,,,,3.0,1,,,,,,,2.17,1,,,,,,,17.25,1,,,,,,,23.83,1,,,,,,,47.42,1,,,,,,
Winter 22/23,Maluay Malatapay MPA,1.15,1,,,,,,,2.0,1,,,,,,,3.15,1,,,,,,,17.62,1,,,,,,,19.54,1,,,,,,,43.46,1,,,,,,
Spring 2023,Maluay Malatapay MPA,0.68,1,,,,,,,1.32,1,,,,,,,4.05,1,,,,,,,16.95,1,,,,,,,21.32,1,,,,,,,44.32,1,,,,,,
Summer 2023,Maluay Malatapay MPA,0.78,1,,,,,,,1.56,1,,,,,,,4.89,1,,,,,,,16.5,1,,,,,,,14.0,1,,,,,,,37.72,1,,,,,,
Autumn 2023,Maluay Malatapay MPA,0.75,1,,,,,,,1.58,1,,,,,,,3.25,1,,,,,,,12.5,1,,,,,,,16.5,1,,,,,,,34.58,1,,,,,,
Winter 23/24,Maluay Malatapay MPA,0.54,1,,,,,,,3.38,1,,,,,,,1.92,1,,,,,,,18.69,1,,,,,,,11.62,1,,,,,,,36.15,1,,,,,,
Spring 2024,Maluay Malatapay MPA,0.82,1,,,,,,,2.36,1,,,,,,,5.18,1,,,,,,,17.27,1,,,,,,,12.36,1,,,,,,,38.0,1,,,,,,
Summer 2024,Maluay Malatapay MPA,0.5,1,,,,,,,1.62,1,,,,,,,5.12,1,,,,,,,17.12,1,,,,,,,11.88,1,,,,,,,36.25,1,,,,,,
Autumn 2024,Maluay Malatapay MPA,0.6,1,,,,,,,1.2,1,,,,,,,4.07,1,,,,,,,11.8,1,,,,,,,12.4,1,,,,,,,30.07,1,,,,,,
Winter 24/25,Maluay Malatapay MPA,0.7,1,,,,,,,2.0,1,,,,,,,3.45,1,,,,,,,9.85,1,,,,,,,9.85,1,,,,,,,25.85,1,,,,,,
Spring 2025,Maluay Malatapay MPA,1.5,1,,,,,,,1.67,1,,,,,,,2.67,1,,,,,,,13.56,1,,,,,,,6.83,1,,,,,,,26.22,1,,,,,,
Summer 2025,Maluay Malatapay MPA,0.83,1,,,,,,,3.33,1,,,,,,,1.67,1,,,,,,,14.21,1,,,,,,,14.0,1,,,,,,,34.04,1,,,,,,
