Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high
Spring 2019,Salag MPA,0.14,1,,,,,,,1.14,1,,,,,,,3.86,1,,,,,,,6.07,1,,,,,,,22.29,1,,,,,,,33.5,1,,,,,,
Summer 2019,Salag MPA,0.0,1,,,,,,,0.43,1,,,,,,,2.71,1,,,,,,,3.71,1,,,,,,,11.14,1,,,,,,,18.0,1,,,,,,
Autumn 2019,Salag MPA,0.0,1,,,,,,,0.71,1,,,,,,,2.86,1,,,,,,,4.07,1,,,,,,,2.5,1,,,,,,,10.14,1,,,,,,
Winter 19/20,Salag MPA,0.14,1,,,,,,,0.45,1,,,,,,,1.27,1,,,,,,,2.59,1,,,,,,,3.36,1,,,,,,,7.82,1,,,,,,
Summer 2022,Salag MPA,0.0,1,,,,,,,3.0,1,,,,,,,1.0,1,,,,,,,10.0,1,,,,,,,0.0,1,,,,,,,14.0,1,,,,,,
Autumn 2022,Salag MPA,1.09,1,,,,,,,1.0,1,,,,,,,2.09,1,,,,,,,6.27,1,,,,,,,2.09,1,,,,,,,12.55,1,,,,,,
Winter 22/23,Salag MPA,0.25,1,,,,,,,1.0,1,,,,,,,3.17,1,,,,,,,5.67,1,,,,,,,3.5,1,,,,,,,13.58,1,,,,,,
Spring 2023,Salag MPA,0.53,1,,,,,,,0.88,1,,,,,,,3.53,1,,,,,,,5.59,1,,,,,,,3.94,1,,,,,,,14.47,1,,,,,,
Summer 2023,Salag MPA,0.5,1,,,,,,,1.07,1,,,,,,,2.71,1,,,,,,,5.43,1,,,,,,,4.43,1,,,,,,,14.14,1,,,,,,
Autumn 2023,Salag MPA,0.22,1,,,,,,,1.11,1,,,,,,,1.78,1,,,,,,,4.44,1,,,,,,,2.56,1,,,,,,,10.11,1,,,,,,
Winter 23/24,Salag MPA,0.23,1,,,,,,,1.38,1,,,,,,,1.85,1,,,,,,,5.77,1,,,,,,,3.31,1,,,,,,,12.54,1,,,,,,
Spring 2024,Salag MPA,0.5,1,,,,,,,2.0,1,,,,,,,2.8,1,,,,,,,7.9,1,,,,,,,6.7,1,,,,,,,19.9,1,,,,,,
Summer 2024,Salag MPA,0.8,1,,,,,,,0.6,1,,,,,,,3.2,1,,,,,,,7.0,1,,,,,,,5.8,1,,,,,,,17.4,1,,,,,,
Autumn 2024,Salag MPA,0.77,1,,,,,,,0.38,1,,,,,,,3.0,1,,,,,,,7.31,1,,,,,,,2.85,1,,,,,,,14.31,1,,,,,,
Winter 24/25,Salag MPA,0.33,1,,,,,,,0.67,1,,,,,,,1.5,1,,,,,,,6.0,1,,,,,,,3.67,1,,,,,,,12.17,1,,,,,,
Spring 2025,Salag MPA,0.17,1,,,,,,,2.89,1,,,,,,,1.89,1,,,,,,,7.11,1,,,,,,,16.17,1,,,,,,,28.22,1,,,,,,
Summer 2025,Salag MPA,0.17,1,,,,,,,1.33,1,,,,,,,2.83,1,,,,,,,7.17,1,,,,,,,7.5,1,,,,,,,19.0,1,,,,,,
