Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Andulay MPA,8.64,5,7.66,3.43,-0.88,18.15,5.21,12.06,1.22,5,0.72,0.32,0.33,2.11,0.9,1.54,1.77,5,1.44,0.64,-0.01,3.55,1.13,2.41,2.48,5,2.33,1.04,-0.42,5.37,1.43,3.52,1.19,5,1.42,0.64,-0.58,2.95,0.55,1.82
Winter 17/18,Andulay MPA,41.67,1,,,,,,,7.08,1,,,,,,,9.58,1,,,,,,,17.5,1,,,,,,,2.92,1,,,,,,
Spring 2018,Andulay MPA,7.35,6,3.92,1.6,3.24,11.46,5.75,8.95,0.55,6,0.4,0.16,0.13,0.97,0.38,0.71,2.69,6,2.23,0.91,0.35,5.02,1.78,3.6,1.24,6,0.68,0.28,0.53,1.94,0.96,1.51,0.36,6,0.35,0.14,-0.01,0.73,0.22,0.51
Summer 2018,Andulay MPA,7.77,5,2.96,1.33,4.09,11.45,6.44,9.09,1.23,5,0.84,0.38,0.18,2.28,0.85,1.61,3.15,5,1.59,0.71,1.18,5.13,2.44,3.86,1.46,5,0.36,0.16,1.02,1.9,1.3,1.62,0.19,5,0.12,0.05,0.04,0.34,0.14,0.25
Autumn 2018,Andulay MPA,10.48,4,4.78,2.39,2.87,18.09,8.09,12.87,1.22,4,1.02,0.51,-0.4,2.84,0.71,1.73,4.27,4,3.48,1.74,-1.28,9.81,2.52,6.01,2.0,4,0.62,0.31,1.0,2.99,1.68,2.31,1.41,4,0.95,0.48,-0.1,2.93,0.94,1.89
Winter 18/19,Andulay MPA,5.92,7,3.54,1.34,2.65,9.2,4.58,7.26,0.54,7,0.31,0.12,0.25,0.83,0.42,0.66,2.53,7,1.01,0.38,1.6,3.47,2.15,2.91,1.33,7,1.32,0.5,0.11,2.54,0.83,1.82,0.51,7,0.49,0.19,0.05,0.96,0.32,0.69
Spring 2019,Andulay MPA,8.6,5,7.88,3.53,-1.19,18.38,5.07,12.12,1.05,5,1.08,0.48,-0.29,2.39,0.57,1.53,3.3,5,3.71,1.66,-1.31,7.9,1.64,4.96,2.45,5,2.93,1.31,-1.19,6.09,1.14,3.76,0.89,5,0.59,0.26,0.16,1.61,0.62,1.15
Summer 2019,Andulay MPA,6.77,5,4.62,2.07,1.03,12.51,4.7,8.83,1.06,5,0.56,0.25,0.37,1.75,0.81,1.31,2.38,5,1.91,0.85,0.01,4.74,1.52,3.23,3.63,5,3.26,1.46,-0.41,7.68,2.18,5.09,0.18,5,0.26,0.12,-0.14,0.5,0.07,0.3
Autumn 2019,Andulay MPA,7.67,5,3.75,1.68,3.01,12.33,5.99,9.35,1.75,5,1.09,0.49,0.4,3.1,1.26,2.24,2.79,5,1.64,0.73,0.76,4.82,2.06,3.52,1.54,5,1.09,0.49,0.18,2.9,1.05,2.03,0.51,5,0.47,0.21,-0.07,1.1,0.3,0.73
Winter 19/20,Andulay MPA,7.15,4,2.65,1.33,2.93,11.37,5.83,8.48,2.33,4,2.04,1.02,-0.92,5.58,1.3,3.35,5.03,4,4.68,2.34,-2.42,12.49,2.69,7.38,2.48,4,2.3,1.15,-1.18,6.14,1.33,3.63,1.01,4,0.54,0.27,0.15,1.86,0.74,1.28
Spring 2021,Andulay MPA,14.17,3,8.52,4.92,-7.01,35.34,9.25,19.09,2.78,3,2.25,1.3,-2.8,8.36,1.48,4.08,6.51,3,3.0,1.73,-0.93,13.95,4.78,8.24,2.16,3,1.88,1.09,-2.51,6.83,1.07,3.25,4.54,3,3.77,2.18,-4.83,13.91,2.36,6.71
Spring 2022,Andulay MPA,6.13,5,6.17,2.76,-1.54,13.79,3.37,8.89,2.27,5,1.84,0.82,-0.01,4.56,1.45,3.1,3.39,5,3.34,1.49,-0.76,7.54,1.9,4.89,2.13,5,2.23,1.0,-0.65,4.9,1.13,3.13,1.62,5,1.83,0.82,-0.66,3.89,0.8,2.44
Summer 2022,Andulay MPA,4.71,5,3.37,1.51,0.52,8.9,3.2,6.22,2.71,5,1.51,0.67,0.84,4.59,2.04,3.39,3.17,5,1.86,0.83,0.86,5.47,2.34,4.0,3.1,5,2.2,0.99,0.37,5.84,2.12,4.09,1.44,5,1.13,0.51,0.04,2.85,0.94,1.95
Autumn 2022,Andulay MPA,4.31,7,3.23,1.22,1.32,7.29,3.08,5.53,2.03,7,1.53,0.58,0.62,3.44,1.45,2.61,2.5,7,1.69,0.64,0.94,4.06,1.86,3.14,0.89,7,0.69,0.26,0.26,1.53,0.63,1.15,1.8,7,1.87,0.71,0.07,3.53,1.09,2.51
Winter 22/23,Andulay MPA,4.82,6,1.86,0.76,2.86,6.78,4.06,5.58,1.41,6,0.98,0.4,0.37,2.44,1.0,1.81,2.87,6,1.35,0.55,1.46,4.28,2.32,3.42,2.72,6,2.32,0.95,0.29,5.15,1.77,3.67,1.3,6,0.61,0.25,0.66,1.94,1.05,1.55
Spring 2023,Andulay MPA,4.2,7,1.97,0.74,2.38,6.02,3.46,4.94,1.69,7,0.86,0.33,0.9,2.49,1.37,2.02,1.86,7,0.9,0.34,1.03,2.69,1.52,2.2,2.48,7,2.13,0.8,0.52,4.45,1.68,3.29,1.31,7,0.74,0.28,0.63,2.0,1.03,1.6
Summer 2023,Andulay MPA,2.42,11,1.66,0.5,1.31,3.54,1.92,2.93,0.78,11,0.57,0.17,0.4,1.16,0.61,0.95,1.53,11,0.91,0.27,0.92,2.14,1.25,1.8,1.91,11,2.37,0.71,0.32,3.51,1.2,2.63,0.2,11,0.42,0.13,-0.08,0.48,0.08,0.33
Autumn 2023,Andulay MPA,3.38,7,1.59,0.6,1.91,4.86,2.78,3.99,1.05,7,0.64,0.24,0.45,1.64,0.8,1.29,2.04,7,1.22,0.46,0.91,3.17,1.58,2.5,3.74,7,1.49,0.56,2.36,5.12,3.18,4.31,0.2,7,0.34,0.13,-0.12,0.51,0.07,0.33
Winter 23/24,Andulay MPA,3.83,5,1.98,0.89,1.37,6.3,2.95,4.72,2.47,5,1.47,0.66,0.65,4.29,1.81,3.13,2.39,5,1.5,0.67,0.53,4.25,1.72,3.06,4.65,5,3.33,1.49,0.51,8.78,3.16,6.14,0.53,5,0.78,0.35,-0.43,1.49,0.18,0.88
Spring 2024,Andulay MPA,2.82,9,1.7,0.57,1.52,4.13,2.26,3.39,1.55,9,0.57,0.19,1.12,1.99,1.36,1.74,1.57,9,0.54,0.18,1.16,1.99,1.4,1.75,1.66,9,0.88,0.29,0.98,2.33,1.36,1.95,0.33,9,0.39,0.13,0.03,0.63,0.2,0.46
Summer 2024,Andulay MPA,4.22,7,2.99,1.13,1.45,6.99,3.09,5.35,1.58,7,1.01,0.38,0.65,2.51,1.2,1.96,2.6,7,1.37,0.52,1.33,3.87,2.08,3.12,2.11,7,1.16,0.44,1.04,3.19,1.67,2.55,0.86,7,1.08,0.41,-0.14,1.87,0.45,1.27
Autumn 2024,Andulay MPA,3.36,7,1.44,0.54,2.03,4.69,2.81,3.9,1.22,7,0.52,0.2,0.74,1.71,1.02,1.42,1.72,7,1.24,0.47,0.57,2.87,1.25,2.19,2.79,7,1.62,0.61,1.29,4.28,2.17,3.4,0.21,7,0.22,0.08,-0.0,0.41,0.12,0.29
Winter 24/25,Andulay MPA,3.37,8,1.86,0.66,1.82,4.93,2.71,4.03,1.09,8,0.78,0.27,0.44,1.74,0.82,1.36,2.25,8,1.82,0.64,0.73,3.77,1.61,2.89,1.9,8,1.9,0.67,0.31,3.49,1.23,2.57,0.09,8,0.18,0.07,-0.06,0.25,0.03,0.16
Spring 2025,Andulay MPA,3.06,8,1.91,0.68,1.46,4.66,2.38,3.73,1.05,8,0.58,0.21,0.57,1.54,0.85,1.26,2.8,8,2.22,0.79,0.94,4.65,2.01,3.58,1.67,8,1.58,0.56,0.34,2.99,1.11,2.23,0.45,8,0.48,0.17,0.05,0.85,0.28,0.62
Summer 2025,Andulay MPA,2.72,11,1.92,0.58,1.43,4.01,2.14,3.3,0.76,11,0.73,0.22,0.27,1.25,0.54,0.98,1.45,11,0.88,0.27,0.85,2.04,1.18,1.71,1.55,11,1.39,0.42,0.61,2.48,1.13,1.97,0.3,11,0.41,0.12,0.02,0.57,0.17,0.42
Autumn 2025,Andulay MPA,2.56,9,0.52,0.17,2.17,2.96,2.39,2.74,0.87,9,0.4,0.13,0.56,1.18,0.74,1.01,2.56,9,0.89,0.3,1.88,3.25,2.27,2.86,1.42,9,0.69,0.23,0.89,1.95,1.19,1.65,0.1,9,0.11,0.04,0.02,0.18,0.06,0.14
