Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,Basak Can-Unsang MPA,0.05,0.08,0.03,0.33,0.01
Winter 17/18,Basak Can-Unsang MPA,0.1,0.04,0.06,0.36,0.02
Spring 2018,Basak Can-Unsang MPA,0.07,0.19,0.11,0.27,0.01
Summer 2018,Basak Can-Unsang MPA,0.06,0.12,0.04,0.28,0.01
Autumn 2018,Basak Can-Unsang MPA,0.1,0.12,0.04,0.2,0.0
Winter 18/19,Basak Can-Unsang MPA,0.12,0.2,0.02,0.2,0.01
Spring 2019,Basak Can-Unsang MPA,0.11,0.12,0.07,0.23,0.0
Summer 2019,Basak Can-Unsang MPA,0.17,0.13,0.03,0.18,0.01
Autumn 2019,Basak Can-Unsang MPA,0.06,0.11,0.04,0.28,0.01
Winter 19/20,Basak Can-Unsang MPA,0.12,0.13,0.02,0.22,0.01
Spring 2022,Basak Can-Unsang MPA,0.14,0.11,0.05,0.21,0.02
Summer 2022,Basak Can-Unsang MPA,0.09,0.14,0.02,0.21,0.04
Autumn 2022,Basak Can-Unsang MPA,0.1,0.1,0.04,0.2,0.04
Winter 22/23,Basak Can-Unsang MPA,0.16,0.2,0.01,0.17,0.02
Spring 2023,Basak Can-Unsang MPA,0.1,0.12,0.04,0.19,0.04
Summer 2023,Basak Can-Unsang MPA,0.17,0.12,0.03,0.17,0.02
Autumn 2023,Basak Can-Unsang MPA,0.2,0.16,0.05,0.19,0.01
Winter 23/24,Basak Can-Unsang MPA,0.21,0.09,0.03,0.12,0.0
Spring 2024,Basak Can-Unsang MPA,0.08,0.19,0.07,0.18,0.01
Summer 2024,Basak Can-Unsang MPA,0.15,0.11,0.03,0.15,0.01
Autumn 2024,Basak Can-Unsang MPA,0.15,0.21,0.01,0.16,0.0
Winter 24/25,Basak Can-Unsang MPA,0.19,0.1,0.02,0.13,0.0
Spring 2025,Basak Can-Unsang MPA,0.15,0.09,0.02,0.12,0.0
Summer 2025,Basak Can-Unsang MPA,0.18,0.11,0.01,0.19,0.0
