Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Spring 2019,Dalakit MPA,0.01,0.24,0.0,0.43,0.01
Summer 2019,Dalakit MPA,0.01,0.13,0.0,0.53,0.01
Autumn 2019,Dalakit MPA,0.04,0.1,0.01,0.52,0.0
Winter 19/20,Dalakit MPA,0.0,0.4,0.01,0.27,0.04
Spring 2022,Dalakit MPA,0.04,0.31,0.0,0.29,0.01
Summer 2022,Dalakit MPA,0.03,0.4,0.0,0.28,0.08
Autumn 2022,Dalakit MPA,0.09,0.09,0.01,0.4,0.04
Winter 22/23,Dalakit MPA,0.06,0.31,0.02,0.25,0.06
Spring 2023,Dalakit MPA,0.05,0.32,0.0,0.36,0.08
Summer 2023,Dalakit MPA,0.03,0.36,0.0,0.25,0.01
Autumn 2023,Dalakit MPA,0.09,0.36,0.0,0.26,0.01
Winter 23/24,Dalakit MPA,0.06,0.31,0.03,0.27,0.03
Spring 2024,Dalakit MPA,0.05,0.25,0.02,0.3,0.04
Summer 2024,Dalakit MPA,0.09,0.24,0.02,0.31,0.04
Autumn 2024,Dalakit MPA,0.0,0.23,0.02,0.38,0.0
Winter 24/25,Dalakit MPA,0.05,0.39,0.01,0.21,0.0
Spring 2025,Dalakit MPA,0.1,0.43,0.0,0.21,0.01
Summer 2025,Dalakit MPA,0.05,0.35,0.02,0.26,0.01
