Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Guinsuan MPA,4.56,5,2.39,1.07,1.59,7.52,3.49,5.63,1.62,5,3.52,1.57,-2.75,5.99,0.04,3.19,2.8,5,1.28,0.57,1.2,4.39,2.22,3.37,0.74,5,0.37,0.16,0.28,1.2,0.57,0.9,0.54,5,0.59,0.26,-0.2,1.27,0.27,0.8
Winter 17/18,Guinsuan MPA,8.75,3,3.25,1.88,0.68,16.82,6.88,10.62,0.38,3,0.57,0.33,-1.04,1.81,0.05,0.71,2.67,3,2.52,1.46,-3.59,8.93,1.22,4.13,1.08,3,0.47,0.27,-0.09,2.24,0.81,1.35,0.03,3,0.06,0.03,-0.11,0.18,-0.0,0.07
Spring 2018,Guinsuan MPA,4.27,4,2.62,1.31,0.09,8.45,2.96,5.58,0.02,4,0.04,0.02,-0.05,0.09,0.0,0.04,3.5,4,2.44,1.22,-0.38,7.38,2.28,4.72,0.56,4,0.36,0.18,-0.01,1.14,0.38,0.74,0.25,4,0.34,0.17,-0.29,0.79,0.08,0.42
Summer 2018,Guinsuan MPA,4.79,4,4.01,2.01,-1.59,11.18,2.79,6.8,0.18,4,0.21,0.1,-0.15,0.51,0.08,0.29,2.76,4,0.97,0.49,1.22,4.31,2.28,3.25,0.46,4,0.42,0.21,-0.21,1.13,0.25,0.67,0.35,4,0.45,0.22,-0.37,1.06,0.12,0.57
Autumn 2018,Guinsuan MPA,4.31,3,1.08,0.63,1.61,7.0,3.68,4.93,0.14,3,0.14,0.08,-0.21,0.48,0.06,0.22,5.65,3,1.26,0.73,2.52,8.78,4.92,6.38,1.81,3,1.08,0.63,-0.89,4.5,1.18,2.43,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
Winter 18/19,Guinsuan MPA,3.66,4,3.86,1.93,-2.49,9.81,1.73,5.6,0.03,4,0.07,0.03,-0.08,0.15,-0.0,0.07,4.79,4,3.09,1.55,-0.13,9.71,3.25,6.34,0.57,4,0.37,0.19,-0.02,1.17,0.39,0.76,0.4,4,0.5,0.25,-0.4,1.2,0.15,0.65
Spring 2019,Guinsuan MPA,2.44,5,2.02,0.9,-0.07,4.96,1.54,3.35,0.08,5,0.09,0.04,-0.03,0.2,0.04,0.12,2.57,5,2.44,1.09,-0.46,5.6,1.48,3.66,1.0,5,0.91,0.41,-0.14,2.14,0.59,1.41,0.08,5,0.12,0.06,-0.07,0.24,0.03,0.14
Summer 2019,Guinsuan MPA,4.44,3,2.27,1.31,-1.2,10.09,3.13,5.76,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.96,3,2.84,1.64,-3.09,11.0,2.32,5.6,1.91,3,2.09,1.2,-3.27,7.09,0.7,3.11,0.1,3,0.1,0.06,-0.15,0.36,0.04,0.16
Autumn 2019,Guinsuan MPA,4.33,3,0.49,0.28,3.12,5.54,4.05,4.61,0.14,3,0.07,0.04,-0.03,0.31,0.1,0.18,5.83,3,2.89,1.67,-1.34,13.01,4.17,7.5,2.8,3,2.13,1.23,-2.48,8.08,1.57,4.03,0.16,3,0.28,0.16,-0.54,0.86,-0.0,0.32
Winter 19/20,Guinsuan MPA,1.65,8,0.9,0.32,0.9,2.4,1.33,1.97,0.06,8,0.1,0.04,-0.02,0.15,0.02,0.1,2.53,8,1.89,0.67,0.95,4.11,1.86,3.19,0.82,8,0.74,0.26,0.2,1.43,0.56,1.08,0.14,8,0.2,0.07,-0.03,0.31,0.07,0.21
