Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Kookoos,13.42,3,7.29,4.21,-4.69,31.53,9.21,17.63,6.44,3,5.09,2.94,-6.2,19.09,3.51,9.38,2.53,3,1.65,0.96,-1.58,6.64,1.57,3.48,2.0,3,1.56,0.9,-1.87,5.87,1.1,2.9,1.19,3,0.77,0.45,-0.73,3.12,0.75,1.64
Winter 17/18,Kookoos,14.81,3,14.45,8.34,-21.08,50.71,6.47,23.16,8.43,3,10.03,5.79,-16.48,33.33,2.64,14.21,2.08,3,1.5,0.87,-1.65,5.82,1.22,2.95,1.5,3,1.0,0.58,-0.97,3.98,0.93,2.08,0.86,3,1.42,0.82,-2.68,4.39,0.03,1.68
Spring 2018,Kookoos,5.72,7,3.1,1.17,2.85,8.6,4.55,6.9,2.06,7,1.23,0.47,0.92,3.2,1.59,2.52,2.07,7,1.18,0.45,0.98,3.16,1.63,2.52,0.6,7,0.65,0.24,0.01,1.2,0.36,0.85,0.34,7,0.34,0.13,0.03,0.65,0.21,0.47
Summer 2018,Kookoos,36.25,1,,,,,,,48.44,1,,,,,,,6.35,1,,,,,,,0.94,1,,,,,,,14.48,1,,,,,,
Autumn 2018,Kookoos,11.5,3,9.36,5.4,-11.75,34.75,6.1,16.9,7.09,3,5.55,3.21,-6.71,20.89,3.89,10.3,4.31,3,3.19,1.84,-3.61,12.24,2.47,6.16,0.98,3,0.78,0.45,-0.96,2.92,0.53,1.43,1.54,3,1.24,0.71,-1.54,4.61,0.82,2.25
Winter 18/19,Kookoos,14.48,3,7.57,4.37,-4.32,33.27,10.11,18.84,6.11,3,1.99,1.15,1.17,11.05,4.96,7.26,4.15,3,3.91,2.26,-5.56,13.86,1.89,6.41,0.82,3,0.74,0.43,-1.02,2.65,0.39,1.24,0.57,3,0.76,0.44,-1.32,2.46,0.13,1.01
Spring 2019,Kookoos,11.04,4,5.01,2.5,3.07,19.01,8.54,13.55,5.19,4,2.33,1.17,1.48,8.9,4.03,6.36,4.03,4,1.9,0.95,1.01,7.04,3.08,4.98,0.5,4,0.38,0.19,-0.1,1.1,0.31,0.69,0.57,4,0.66,0.33,-0.48,1.62,0.24,0.9
Summer 2019,Kookoos,19.97,2,11.54,8.16,-83.71,123.64,11.81,28.12,10.1,2,2.01,1.42,-7.98,28.19,8.68,11.53,7.29,2,4.22,2.99,-30.65,45.23,4.31,10.28,1.42,2,1.42,1.01,-11.37,14.22,0.42,2.43,1.67,2,1.87,1.32,-15.1,18.43,0.35,2.99
Autumn 2019,Kookoos,9.17,4,3.59,1.8,3.45,14.88,7.37,10.96,6.25,4,3.32,1.66,0.96,11.54,4.59,7.91,2.73,4,2.02,1.01,-0.48,5.94,1.72,3.74,0.88,4,0.92,0.46,-0.57,2.34,0.42,1.34,0.65,4,0.86,0.43,-0.71,2.01,0.22,1.08
Winter 19/20,Kookoos,13.4,3,5.9,3.41,-1.26,28.06,9.99,16.8,5.09,3,2.46,1.42,-1.04,11.21,3.66,6.51,4.53,3,1.54,0.89,0.71,8.35,3.64,5.42,1.82,3,0.46,0.27,0.66,2.97,1.55,2.08,2.09,3,1.64,0.95,-1.98,6.17,1.15,3.04
Spring 2022,Kookoos,15.82,3,8.47,4.89,-5.21,36.85,10.93,20.71,4.81,3,3.18,1.84,-3.09,12.72,2.98,6.65,3.89,3,1.26,0.73,0.76,7.02,3.16,4.62,1.3,3,0.68,0.39,-0.4,2.99,0.9,1.69,4.12,3,3.06,1.77,-3.48,11.72,2.35,5.89
Summer 2022,Kookoos,8.45,5,5.0,2.24,2.24,14.66,6.21,10.69,3.59,5,2.1,0.94,0.99,6.19,2.65,4.53,2.49,5,1.41,0.63,0.74,4.24,1.86,3.12,1.05,5,0.82,0.37,0.03,2.07,0.68,1.42,2.77,5,1.71,0.77,0.65,4.9,2.01,3.54
Autumn 2022,Kookoos,8.13,5,4.52,2.02,2.51,13.74,6.11,10.15,3.4,5,2.84,1.27,-0.13,6.92,2.13,4.67,1.77,5,1.36,0.61,0.08,3.45,1.16,2.38,1.17,5,1.06,0.48,-0.15,2.49,0.69,1.64,4.47,5,4.03,1.8,-0.53,9.47,2.67,6.28
Winter 22/23,Kookoos,6.27,6,3.42,1.4,2.68,9.86,4.88,7.67,3.24,6,4.07,1.66,-1.04,7.51,1.57,4.9,2.36,6,2.15,0.88,0.1,4.62,1.48,3.24,1.12,6,0.78,0.32,0.3,1.95,0.8,1.44,3.23,6,3.08,1.26,-0.01,6.46,1.97,4.48
Spring 2023,Kookoos,6.92,6,3.34,1.36,3.41,10.43,5.56,8.29,2.99,6,1.21,0.49,1.72,4.27,2.5,3.49,2.56,6,1.26,0.51,1.24,3.88,2.05,3.08,0.81,6,0.55,0.23,0.23,1.39,0.58,1.04,2.31,6,0.98,0.4,1.28,3.33,1.91,2.71
Summer 2023,Kookoos,7.37,6,4.66,1.9,2.47,12.26,5.46,9.27,2.82,6,1.9,0.77,0.83,4.81,2.05,3.59,1.88,6,0.94,0.38,0.89,2.86,1.49,2.26,0.99,6,0.96,0.39,-0.02,2.0,0.59,1.38,0.46,6,0.65,0.26,-0.22,1.14,0.19,0.72
Autumn 2023,Kookoos,6.88,6,3.52,1.44,3.19,10.58,5.45,8.32,1.81,6,1.03,0.42,0.72,2.89,1.38,2.23,2.32,6,1.47,0.6,0.78,3.86,1.72,2.92,1.79,6,1.43,0.59,0.28,3.29,1.2,2.37,0.14,6,0.17,0.07,-0.04,0.32,0.07,0.21
Winter 23/24,Kookoos,3.98,10,1.16,0.37,3.15,4.82,3.61,4.35,1.45,10,0.52,0.16,1.08,1.82,1.28,1.61,2.18,10,0.72,0.23,1.67,2.7,1.96,2.41,0.69,10,0.45,0.14,0.37,1.01,0.55,0.83,0.07,10,0.06,0.02,0.03,0.12,0.05,0.09
Spring 2024,Kookoos,4.88,8,1.94,0.69,3.26,6.51,4.2,5.57,2.14,8,1.54,0.54,0.85,3.42,1.6,2.68,2.29,8,0.9,0.32,1.54,3.04,1.97,2.6,0.56,8,0.32,0.11,0.3,0.83,0.45,0.68,0.51,8,0.47,0.17,0.12,0.9,0.34,0.68
Summer 2024,Kookoos,9.67,5,7.59,3.39,0.24,19.09,6.27,13.06,2.31,5,1.81,0.81,0.05,4.56,1.49,3.12,2.79,5,1.62,0.72,0.78,4.8,2.07,3.52,0.82,5,0.74,0.33,-0.1,1.74,0.49,1.15,1.61,5,2.31,1.03,-1.26,4.48,0.58,2.64
Autumn 2024,Kookoos,6.63,6,3.87,1.58,2.57,10.69,5.05,8.21,1.78,6,1.19,0.49,0.53,3.03,1.29,2.27,2.76,6,1.11,0.45,1.6,3.92,2.31,3.21,2.2,6,2.87,1.17,-0.81,5.22,1.03,3.38,0.4,6,0.31,0.13,0.08,0.72,0.27,0.53
Winter 24/25,Kookoos,3.91,9,1.24,0.41,2.96,4.87,3.5,4.33,1.39,9,0.85,0.28,0.74,2.05,1.11,1.68,2.36,9,1.2,0.4,1.44,3.29,1.96,2.76,0.95,9,0.68,0.23,0.42,1.47,0.72,1.17,0.19,9,0.26,0.09,-0.01,0.38,0.1,0.27
Spring 2025,Kookoos,3.1,11,1.45,0.44,2.12,4.08,2.66,3.54,0.69,11,0.43,0.13,0.4,0.97,0.56,0.82,2.31,11,1.41,0.42,1.36,3.26,1.88,2.73,0.74,11,0.51,0.15,0.4,1.08,0.59,0.9,0.43,11,0.4,0.12,0.16,0.71,0.31,0.56
Summer 2025,Kookoos,4.0,9,1.58,0.53,2.79,5.22,3.48,4.53,0.93,9,0.54,0.18,0.52,1.34,0.75,1.11,2.27,9,0.93,0.31,1.56,2.98,1.96,2.58,1.01,9,0.83,0.28,0.38,1.65,0.74,1.29,0.15,9,0.27,0.09,-0.06,0.36,0.06,0.24
Autumn 2025,Kookoos,3.32,10,1.37,0.43,2.35,4.3,2.89,3.76,0.63,10,0.37,0.12,0.37,0.9,0.51,0.75,3.11,10,1.42,0.45,2.09,4.13,2.66,3.56,0.68,10,0.8,0.25,0.1,1.25,0.42,0.93,0.12,10,0.22,0.07,-0.04,0.28,0.05,0.19
