Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Spring 2022,Latason MPA,18.54,1,,,,,,,15.21,1,,,,,,,14.17,1,,,,,,,8.12,1,,,,,,,0.0,1,,,,,,
Summer 2022,Latason MPA,25.0,1,,,,,,,14.03,1,,,,,,,20.83,1,,,,,,,7.08,1,,,,,,,3.89,1,,,,,,
Autumn 2022,Latason MPA,8.12,3,3.91,2.26,-1.58,17.83,5.87,10.38,3.65,3,1.85,1.07,-0.95,8.25,2.58,4.71,4.34,3,1.97,1.14,-0.55,9.23,3.2,5.48,3.06,3,1.67,0.96,-1.09,7.2,2.09,4.02,2.47,3,1.33,0.77,-0.83,5.76,1.7,3.23
Winter 22/23,Latason MPA,13.56,2,1.9,1.34,-3.49,30.62,12.22,14.91,4.44,2,2.1,1.48,-14.38,23.27,2.96,5.93,7.87,2,3.8,2.69,-26.25,41.99,5.19,10.56,5.56,2,4.06,2.87,-30.92,42.03,2.69,8.43,1.94,2,2.49,1.76,-20.41,24.3,0.19,3.7
Spring 2023,Latason MPA,4.04,6,1.83,0.75,2.12,5.96,3.29,4.79,2.26,6,1.46,0.59,0.73,3.78,1.66,2.85,2.96,6,1.98,0.81,0.88,5.05,2.15,3.77,1.76,6,1.29,0.53,0.41,3.11,1.23,2.28,1.08,6,0.95,0.39,0.08,2.07,0.69,1.46
Summer 2023,Latason MPA,7.64,3,7.75,4.47,-11.61,26.89,3.16,12.11,3.65,3,3.54,2.04,-5.14,12.43,1.6,5.69,4.55,3,2.99,1.72,-2.87,11.97,2.82,6.27,5.56,3,5.02,2.9,-6.91,18.02,2.66,8.45,1.74,3,3.01,1.74,-5.73,9.21,0.0,3.47
Autumn 2023,Latason MPA,6.43,4,4.98,2.49,-1.49,14.35,3.94,8.92,3.18,4,3.81,1.9,-2.88,9.24,1.27,5.08,3.85,4,1.77,0.88,1.04,6.67,2.97,4.74,3.26,4,2.6,1.3,-0.88,7.39,1.96,4.55,0.44,4,0.35,0.18,-0.12,1.01,0.27,0.62
Winter 23/24,Latason MPA,3.72,6,1.65,0.67,1.99,5.46,3.05,4.4,1.45,6,0.61,0.25,0.81,2.09,1.2,1.7,3.75,6,2.04,0.83,1.61,5.89,2.92,4.58,1.69,6,1.42,0.58,0.2,3.18,1.11,2.27,0.18,6,0.23,0.09,-0.06,0.42,0.08,0.27
Spring 2024,Latason MPA,12.67,2,0.0,0.0,12.67,12.67,12.67,12.67,6.08,2,3.18,2.25,-22.51,34.67,3.83,8.33,8.75,2,1.3,0.92,-2.9,20.4,7.83,9.67,5.75,2,5.3,3.75,-41.9,53.4,2.0,9.5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
Summer 2024,Latason MPA,6.15,3,4.91,2.84,-6.05,18.35,3.31,8.98,5.0,3,4.14,2.39,-5.28,15.28,2.61,7.39,6.15,3,1.2,0.69,3.16,9.13,5.45,6.84,1.11,3,1.12,0.65,-1.68,3.9,0.46,1.76,0.35,3,0.37,0.21,-0.56,1.26,0.14,0.56
Autumn 2024,Latason MPA,3.81,4,1.91,0.96,0.76,6.86,2.85,4.77,1.37,4,0.55,0.28,0.49,2.25,1.09,1.65,5.27,4,1.3,0.65,3.2,7.34,4.62,5.92,2.92,4,2.54,1.27,-1.12,6.95,1.65,4.18,0.03,4,0.06,0.03,-0.06,0.12,0.0,0.06
Winter 24/25,Latason MPA,3.55,5,1.01,0.45,2.29,4.81,3.1,4.0,1.8,5,1.49,0.67,-0.05,3.65,1.13,2.47,4.42,5,3.16,1.41,0.5,8.33,3.01,5.83,2.55,5,2.42,1.08,-0.46,5.56,1.47,3.63,0.15,5,0.17,0.08,-0.06,0.36,0.07,0.23
Spring 2025,Latason MPA,3.92,6,1.67,0.68,2.16,5.68,3.24,4.6,0.68,6,0.48,0.2,0.18,1.19,0.49,0.88,3.26,6,1.99,0.81,1.17,5.35,2.44,4.07,1.28,6,1.06,0.43,0.17,2.4,0.85,1.72,0.16,6,0.22,0.09,-0.08,0.4,0.07,0.25
Summer 2025,Latason MPA,2.93,8,1.49,0.53,1.69,4.18,2.4,3.46,1.13,8,1.53,0.54,-0.15,2.41,0.59,1.67,2.25,8,1.44,0.51,1.05,3.45,1.74,2.76,1.35,8,1.81,0.64,-0.17,2.86,0.71,1.99,0.1,8,0.14,0.05,-0.02,0.21,0.05,0.15
Autumn 2025,Latason MPA,3.52,5,2.31,1.03,0.65,6.38,2.48,4.55,1.39,5,0.8,0.36,0.41,2.38,1.04,1.75,5.23,5,1.8,0.8,2.99,7.46,4.42,6.03,0.67,5,0.65,0.29,-0.14,1.47,0.38,0.96,0.08,5,0.09,0.04,-0.04,0.19,0.03,0.12
