Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Lutoban North MPA,6.37,6,3.56,1.45,2.63,10.1,4.91,7.82,2.74,6,2.75,1.12,-0.15,5.62,1.61,3.86,1.55,6,0.96,0.39,0.54,2.56,1.16,1.94,1.44,6,1.1,0.45,0.29,2.59,0.99,1.89,0.54,6,0.53,0.21,-0.01,1.1,0.33,0.76
Winter 17/18,Lutoban North MPA,15.0,2,7.66,5.42,-53.83,83.83,9.58,20.42,2.08,2,0.59,0.42,-3.21,7.38,1.67,2.5,9.58,2,3.54,2.5,-22.18,41.35,7.08,12.08,4.79,2,0.88,0.63,-3.15,12.73,4.17,5.42,0.21,2,0.29,0.21,-2.44,2.86,0.0,0.42
Spring 2018,Lutoban North MPA,13.41,2,0.32,0.23,10.52,16.3,13.18,13.64,1.55,2,0.37,0.27,-1.82,4.92,1.29,1.82,10.64,2,5.3,3.75,-37.0,58.29,6.89,14.39,3.71,2,0.11,0.08,2.75,4.67,3.64,3.79,0.11,2,0.05,0.04,-0.37,0.59,0.08,0.15
Summer 2018,Lutoban North MPA,6.29,5,3.03,1.36,2.53,10.05,4.94,7.65,1.07,5,0.69,0.31,0.22,1.92,0.77,1.38,3.23,5,2.56,1.15,0.05,6.41,2.08,4.37,0.91,5,0.69,0.31,0.05,1.76,0.6,1.21,0.2,5,0.22,0.1,-0.07,0.47,0.1,0.3
Autumn 2018,Lutoban North MPA,8.33,4,3.42,1.71,2.89,13.78,6.62,10.05,0.91,4,0.56,0.28,0.02,1.8,0.63,1.19,3.88,4,2.81,1.41,-0.59,8.36,2.48,5.29,2.99,4,1.84,0.92,0.06,5.92,2.07,3.91,0.13,4,0.16,0.08,-0.12,0.38,0.06,0.21
Winter 18/19,Lutoban North MPA,5.18,6,3.27,1.34,1.75,8.61,3.85,6.52,1.17,6,0.89,0.36,0.24,2.1,0.8,1.53,3.55,6,2.39,0.98,1.04,6.06,2.57,4.53,1.16,6,0.31,0.12,0.84,1.48,1.03,1.28,0.26,6,0.19,0.08,0.06,0.47,0.19,0.34
Spring 2019,Lutoban North MPA,3.71,7,1.89,0.71,1.97,5.45,3.0,4.42,1.76,7,0.84,0.32,0.98,2.54,1.44,2.08,2.91,7,2.11,0.8,0.96,4.86,2.11,3.71,0.88,7,0.71,0.27,0.22,1.54,0.61,1.15,0.4,7,0.24,0.09,0.18,0.63,0.31,0.5
Summer 2019,Lutoban North MPA,5.39,6,6.34,2.59,-1.27,12.04,2.8,7.98,1.24,6,1.04,0.42,0.16,2.33,0.82,1.67,1.92,6,1.54,0.63,0.31,3.54,1.3,2.55,2.15,6,1.74,0.71,0.32,3.97,1.44,2.86,0.17,6,0.18,0.07,-0.02,0.37,0.1,0.25
Autumn 2019,Lutoban North MPA,6.52,5,3.19,1.43,2.56,10.48,5.09,7.94,1.1,5,0.6,0.27,0.35,1.84,0.83,1.37,2.85,5,1.5,0.67,0.99,4.71,2.18,3.52,2.0,5,1.25,0.56,0.45,3.55,1.44,2.56,1.57,5,1.01,0.45,0.31,2.83,1.12,2.02
Winter 19/20,Lutoban North MPA,3.15,8,1.52,0.54,1.88,4.42,2.61,3.69,0.83,8,0.47,0.17,0.44,1.22,0.66,0.99,2.67,8,1.71,0.61,1.24,4.11,2.07,3.28,1.09,8,0.75,0.26,0.46,1.71,0.82,1.35,0.36,8,0.18,0.06,0.22,0.51,0.3,0.42
Spring 2021,Lutoban North MPA,4.59,7,3.25,1.23,1.58,7.59,3.36,5.82,1.31,7,1.3,0.49,0.11,2.51,0.82,1.8,1.67,7,1.58,0.6,0.21,3.12,1.07,2.26,1.16,7,0.82,0.31,0.41,1.92,0.85,1.47,1.34,7,0.87,0.33,0.53,2.14,1.01,1.66
Spring 2022,Lutoban North MPA,3.78,7,1.46,0.55,2.43,5.13,3.23,4.33,1.37,7,0.93,0.35,0.52,2.23,1.02,1.72,2.81,7,1.4,0.53,1.51,4.11,2.28,3.34,1.56,7,0.77,0.29,0.85,2.28,1.27,1.86,0.96,7,0.81,0.31,0.21,1.72,0.66,1.27
Summer 2022,Lutoban North MPA,3.24,8,1.65,0.58,1.86,4.62,2.66,3.83,2.01,8,2.11,0.75,0.25,3.78,1.27,2.76,2.6,8,1.44,0.51,1.39,3.8,2.09,3.11,1.0,8,0.68,0.24,0.43,1.57,0.76,1.24,1.02,8,0.64,0.23,0.48,1.56,0.79,1.25
Autumn 2022,Lutoban North MPA,4.79,6,3.91,1.6,0.68,8.89,3.19,6.38,1.4,6,1.92,0.79,-0.62,3.42,0.61,2.19,3.15,6,0.94,0.39,2.16,4.14,2.77,3.54,1.47,6,0.89,0.36,0.54,2.41,1.11,1.84,1.75,6,1.15,0.47,0.55,2.95,1.28,2.22
Winter 22/23,Lutoban North MPA,2.78,9,1.63,0.54,1.53,4.03,2.23,3.32,0.73,9,0.6,0.2,0.27,1.19,0.53,0.93,2.11,9,1.66,0.55,0.83,3.39,1.56,2.66,1.44,9,1.33,0.44,0.42,2.46,1.0,1.88,0.84,9,0.39,0.13,0.54,1.14,0.71,0.97
