Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Lutoban Pier,24.07,2,11.47,8.11,-78.96,127.1,15.96,32.18,5.8,2,6.94,4.9,-56.51,68.11,0.9,10.71,4.29,2,1.81,1.28,-12.0,20.58,3.01,5.58,3.14,2,0.54,0.38,-1.75,8.03,2.76,3.53,1.47,2,1.81,1.28,-14.82,17.76,0.19,2.76
Winter 17/18,Lutoban Pier,18.94,3,16.07,9.28,-20.98,58.87,9.67,28.22,2.39,3,0.13,0.07,2.07,2.71,2.32,2.46,1.78,3,0.67,0.39,0.12,3.44,1.39,2.16,1.42,3,1.12,0.65,-1.37,4.2,0.77,2.06,0.5,3,0.58,0.34,-0.95,1.95,0.16,0.84
Spring 2018,Lutoban Pier,10.39,5,3.12,1.39,6.52,14.27,9.0,11.79,1.36,5,0.41,0.18,0.85,1.87,1.18,1.54,1.49,5,0.65,0.29,0.69,2.29,1.2,1.78,0.9,5,0.68,0.3,0.06,1.75,0.6,1.21,0.67,5,1.03,0.46,-0.61,1.94,0.21,1.13
Summer 2018,Lutoban Pier,11.91,4,7.6,3.8,-0.18,24.0,8.11,15.71,1.75,4,1.36,0.68,-0.42,3.92,1.07,2.43,3.21,4,1.97,0.98,0.08,6.34,2.23,4.19,0.94,4,1.04,0.52,-0.71,2.59,0.43,1.46,1.86,4,1.15,0.57,0.03,3.69,1.29,2.44
Autumn 2018,Lutoban Pier,9.88,4,5.52,2.76,1.09,18.67,7.12,12.64,3.23,4,3.3,1.65,-2.02,8.47,1.58,4.88,2.92,4,2.45,1.23,-0.99,6.82,1.69,4.14,1.4,4,1.84,0.92,-1.53,4.32,0.48,2.32,1.18,4,1.44,0.72,-1.11,3.46,0.46,1.89
Winter 18/19,Lutoban Pier,6.67,6,3.31,1.35,3.2,10.15,5.32,8.03,1.51,6,1.12,0.46,0.33,2.68,1.05,1.96,3.51,6,2.09,0.85,1.32,5.71,2.66,4.37,0.26,6,0.33,0.14,-0.09,0.61,0.12,0.39,0.61,6,1.05,0.43,-0.49,1.71,0.18,1.04
Spring 2019,Lutoban Pier,15.83,3,15.13,8.74,-21.75,53.42,7.1,24.57,3.1,3,4.72,2.72,-8.62,14.82,0.38,5.83,5.3,3,2.15,1.24,-0.03,10.63,4.06,6.54,0.49,3,0.67,0.39,-1.18,2.15,0.1,0.87,2.64,3,4.57,2.64,-8.72,13.99,0.0,5.28
Summer 2019,Lutoban Pier,10.31,4,6.5,3.25,-0.02,20.65,7.06,13.56,3.52,4,2.95,1.47,-1.17,8.22,2.05,5.0,2.34,4,1.52,0.76,-0.07,4.76,1.58,3.1,2.27,4,2.7,1.35,-2.02,6.57,0.93,3.62,0.24,4,0.39,0.2,-0.39,0.87,0.05,0.44
Autumn 2019,Lutoban Pier,8.88,5,2.33,1.04,5.98,11.77,7.83,9.92,1.81,5,1.64,0.73,-0.22,3.84,1.08,2.54,2.16,5,1.06,0.48,0.84,3.48,1.68,2.63,1.28,5,0.63,0.28,0.5,2.06,1.0,1.56,2.28,5,1.75,0.78,0.11,4.46,1.5,3.07
Winter 19/20,Lutoban Pier,9.69,5,6.16,2.75,2.05,17.34,6.94,12.45,2.16,5,1.55,0.69,0.24,4.08,1.47,2.85,2.27,5,1.48,0.66,0.43,4.11,1.61,2.93,0.56,5,0.55,0.24,-0.12,1.23,0.31,0.8,2.15,5,1.51,0.67,0.28,4.02,1.47,2.82
Spring 2021,Lutoban Pier,24.42,2,28.4,20.08,-230.77,279.6,4.33,44.5,4.58,2,2.71,1.92,-19.77,28.94,2.67,6.5,4.58,2,2.0,1.42,-13.42,22.58,3.17,6.0,2.83,2,2.59,1.83,-20.46,26.13,1.0,4.67,8.5,2,10.84,7.67,-88.91,105.91,0.83,16.17
Spring 2022,Lutoban Pier,12.12,4,6.97,3.48,1.03,23.2,8.64,15.6,1.01,4,0.92,0.46,-0.46,2.48,0.55,1.47,3.73,4,3.73,1.87,-2.21,9.66,1.86,5.59,1.62,4,0.97,0.48,0.08,3.16,1.14,2.1,0.88,4,0.78,0.39,-0.35,2.11,0.49,1.27
