Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Spring 2018,Lutoban South MPA,28.89,1,,,,,,,16.39,1,,,,,,,13.89,1,,,,,,,8.89,1,,,,,,,1.39,1,,,,,,
Autumn 2019,Lutoban South MPA,14.65,2,1.87,1.32,-2.11,31.42,13.33,15.97,8.72,2,1.82,1.28,-7.61,25.04,7.43,10.0,5.07,2,1.67,1.18,-9.93,20.07,3.89,6.25,3.78,2,3.58,2.53,-28.42,35.99,1.25,6.32,4.69,2,4.17,2.95,-32.81,42.19,1.74,7.64
Winter 19/20,Lutoban South MPA,13.47,2,6.87,4.86,-48.29,75.24,8.61,18.33,6.53,2,0.29,0.21,3.88,9.17,6.32,6.74,7.15,2,4.03,2.85,-29.02,43.33,4.31,10.0,5.66,2,3.09,2.19,-22.14,33.45,3.47,7.85,1.7,2,0.83,0.59,-5.8,9.2,1.11,2.29
Spring 2021,Lutoban South MPA,43.33,1,,,,,,,12.5,1,,,,,,,11.67,1,,,,,,,4.17,1,,,,,,,19.17,1,,,,,,
Spring 2022,Lutoban South MPA,6.34,3,1.33,0.77,3.04,9.64,5.58,7.11,5.79,3,2.77,1.6,-1.11,12.68,4.19,7.39,6.83,3,1.3,0.75,3.6,10.06,6.08,7.58,3.36,3,0.93,0.54,1.04,5.67,2.82,3.89,1.6,3,1.08,0.63,-1.1,4.29,0.97,2.22
Summer 2022,Lutoban South MPA,3.0,6,1.16,0.47,1.79,4.22,2.53,3.48,2.72,6,1.58,0.65,1.06,4.38,2.07,3.36,4.29,6,1.52,0.62,2.7,5.89,3.67,4.91,1.13,6,0.65,0.27,0.44,1.82,0.86,1.4,1.84,6,1.32,0.54,0.45,3.22,1.3,2.38
Autumn 2022,Lutoban South MPA,5.53,4,1.37,0.69,3.34,7.72,4.84,6.22,3.65,4,2.04,1.02,0.41,6.9,2.64,4.67,5.22,4,2.89,1.45,0.62,9.83,3.78,6.67,2.2,4,0.97,0.49,0.65,3.75,1.71,2.68,2.04,4,0.93,0.46,0.56,3.51,1.57,2.5
Winter 22/23,Lutoban South MPA,5.64,4,3.5,1.75,0.07,11.21,3.89,7.39,4.08,4,1.92,0.96,1.01,7.14,3.11,5.04,3.76,4,2.29,1.15,0.12,7.41,2.62,4.91,1.76,4,1.84,0.92,-1.17,4.69,0.84,2.68,2.68,4,2.79,1.39,-1.75,7.12,1.29,4.08
Spring 2023,Lutoban South MPA,2.34,7,1.41,0.53,1.04,3.64,1.81,2.87,1.96,7,1.65,0.62,0.43,3.48,1.33,2.58,3.05,7,2.3,0.87,0.92,5.18,2.18,3.92,2.35,7,1.49,0.56,0.97,3.73,1.79,2.92,0.79,7,0.64,0.24,0.19,1.38,0.54,1.03
Summer 2023,Lutoban South MPA,1.68,8,1.49,0.53,0.43,2.93,1.15,2.21,1.9,8,1.07,0.38,1.01,2.79,1.52,2.28,2.9,8,2.14,0.76,1.12,4.69,2.15,3.66,1.14,8,0.32,0.11,0.87,1.4,1.02,1.25,0.08,8,0.2,0.07,-0.09,0.25,0.01,0.15
Autumn 2023,Lutoban South MPA,2.6,5,1.53,0.68,0.7,4.5,1.91,3.28,2.72,5,1.72,0.77,0.59,4.85,1.95,3.49,4.24,5,2.67,1.19,0.92,7.55,3.04,5.43,3.0,5,1.29,0.58,1.4,4.6,2.42,3.58,0.24,5,0.32,0.14,-0.16,0.63,0.09,0.38
Winter 23/24,Lutoban South MPA,1.72,8,1.23,0.44,0.69,2.75,1.28,2.15,1.77,8,1.92,0.68,0.17,3.37,1.09,2.45,2.58,8,1.65,0.58,1.2,3.96,1.99,3.16,2.45,8,2.06,0.73,0.73,4.18,1.73,3.18,0.25,8,0.43,0.15,-0.1,0.61,0.1,0.4
Spring 2024,Lutoban South MPA,2.24,7,1.09,0.41,1.23,3.24,1.82,2.65,2.73,7,1.95,0.74,0.93,4.53,1.99,3.47,2.59,7,2.53,0.96,0.24,4.93,1.63,3.54,1.29,7,0.98,0.37,0.39,2.2,0.92,1.66,0.49,7,0.58,0.22,-0.04,1.03,0.28,0.71
Summer 2024,Lutoban South MPA,1.81,9,0.97,0.32,1.06,2.55,1.48,2.13,1.83,9,1.27,0.42,0.85,2.81,1.41,2.26,1.88,9,1.15,0.38,1.0,2.77,1.5,2.26,1.33,9,1.25,0.42,0.36,2.29,0.91,1.74,0.16,9,0.2,0.07,0.01,0.31,0.09,0.22
Autumn 2024,Lutoban South MPA,3.69,5,2.08,0.93,1.11,6.27,2.76,4.62,2.32,5,0.98,0.44,1.1,3.54,1.88,2.76,2.67,5,1.94,0.87,0.26,5.08,1.8,3.53,4.08,5,2.22,0.99,1.32,6.84,3.08,5.07,0.37,5,0.45,0.2,-0.19,0.94,0.17,0.57
Winter 24/25,Lutoban South MPA,2.02,7,1.03,0.39,1.07,2.98,1.63,2.41,1.74,7,0.74,0.28,1.06,2.43,1.46,2.02,2.54,7,0.61,0.23,1.98,3.11,2.31,2.77,2.4,7,1.37,0.52,1.13,3.67,1.88,2.92,0.04,7,0.07,0.03,-0.02,0.1,0.02,0.07
Spring 2025,Lutoban South MPA,1.12,11,0.66,0.2,0.67,1.56,0.92,1.32,1.04,11,0.88,0.27,0.45,1.64,0.78,1.31,1.38,11,0.71,0.21,0.91,1.86,1.17,1.6,1.4,11,0.7,0.21,0.92,1.87,1.19,1.61,0.21,11,0.29,0.09,0.01,0.4,0.12,0.29
Summer 2025,Lutoban South MPA,1.82,9,0.71,0.24,1.27,2.36,1.58,2.05,1.35,9,0.55,0.18,0.93,1.77,1.17,1.53,1.42,9,0.67,0.22,0.91,1.94,1.2,1.65,1.79,9,1.25,0.42,0.83,2.75,1.37,2.21,0.15,9,0.21,0.07,-0.01,0.31,0.08,0.22
Autumn 2025,Lutoban South MPA,1.52,10,0.7,0.22,1.01,2.02,1.29,1.74,1.5,10,0.98,0.31,0.8,2.2,1.19,1.81,2.19,10,1.1,0.35,1.4,2.98,1.84,2.54,0.98,10,0.86,0.27,0.36,1.59,0.7,1.25,0.25,10,0.57,0.18,-0.15,0.65,0.07,0.43
