Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Maluay Malatapay MPA,6.18,6,6.35,2.59,-0.49,12.85,3.58,8.77,0.11,6,0.14,0.06,-0.04,0.25,0.05,0.16,3.03,6,2.62,1.07,0.28,5.78,1.96,4.1,1.34,6,1.73,0.71,-0.47,3.16,0.64,2.05,0.51,6,0.52,0.21,-0.03,1.06,0.3,0.72
Spring 2018,Maluay Malatapay MPA,5.87,5,4.43,1.98,0.37,11.37,3.89,7.85,0.01,5,0.02,0.01,-0.02,0.03,0.0,0.02,5.41,5,3.9,1.74,0.56,10.25,3.66,7.15,2.25,5,2.93,1.31,-1.38,5.88,0.94,3.56,0.19,5,0.15,0.07,0.01,0.38,0.13,0.26
Summer 2018,Maluay Malatapay MPA,6.39,3,4.26,2.46,-4.18,16.96,3.93,8.85,0.16,3,0.17,0.1,-0.27,0.6,0.06,0.26,10.32,3,3.81,2.2,0.86,19.79,8.12,12.52,0.95,3,0.59,0.34,-0.52,2.42,0.61,1.29,0.49,3,0.46,0.26,-0.65,1.62,0.22,0.75
Autumn 2018,Maluay Malatapay MPA,2.59,8,1.81,0.64,1.07,4.1,1.95,3.23,0.02,8,0.03,0.01,-0.0,0.04,0.01,0.03,3.74,8,2.55,0.9,1.6,5.87,2.84,4.64,1.64,8,1.48,0.52,0.41,2.88,1.12,2.17,0.13,8,0.14,0.05,0.02,0.24,0.08,0.18
Winter 18/19,Maluay Malatapay MPA,4.36,6,2.98,1.21,1.23,7.48,3.14,5.57,0.11,6,0.2,0.08,-0.1,0.33,0.03,0.2,5.91,6,4.54,1.85,1.15,10.67,4.06,7.76,1.22,6,1.23,0.5,-0.07,2.52,0.72,1.73,0.36,6,0.27,0.11,0.07,0.64,0.25,0.47
Spring 2019,Maluay Malatapay MPA,4.37,5,2.47,1.1,1.31,7.43,3.27,5.47,0.02,5,0.03,0.01,-0.02,0.06,0.01,0.04,6.69,5,4.15,1.86,1.53,11.85,4.83,8.55,2.51,5,2.08,0.93,-0.07,5.1,1.58,3.44,0.15,5,0.17,0.07,-0.05,0.36,0.08,0.23
Summer 2019,Maluay Malatapay MPA,3.73,6,2.77,1.13,0.82,6.63,2.6,4.86,0.08,6,0.12,0.05,-0.05,0.21,0.03,0.13,3.46,6,1.49,0.61,1.9,5.03,2.86,4.07,4.23,6,3.54,1.44,0.52,7.95,2.79,5.68,0.15,6,0.16,0.07,-0.03,0.32,0.08,0.21
Autumn 2019,Maluay Malatapay MPA,5.83,4,4.8,2.4,-1.81,13.48,3.43,8.24,0.02,4,0.05,0.02,-0.05,0.1,0.0,0.05,7.81,4,4.54,2.27,0.59,15.02,5.54,10.07,2.71,4,3.17,1.58,-2.33,7.75,1.13,4.29,0.34,4,0.29,0.15,-0.12,0.81,0.2,0.49
Winter 19/20,Maluay Malatapay MPA,2.78,7,1.78,0.67,1.14,4.42,2.11,3.45,0.04,7,0.07,0.03,-0.02,0.1,0.02,0.07,5.06,7,2.52,0.95,2.73,7.39,4.11,6.01,1.72,7,0.93,0.35,0.86,2.58,1.37,2.07,0.62,7,0.46,0.17,0.2,1.04,0.45,0.79
Spring 2021,Maluay Malatapay MPA,11.01,3,4.65,2.68,-0.53,22.55,8.33,13.69,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,8.03,3,1.97,1.14,3.14,12.92,6.89,9.17,2.37,3,0.8,0.46,0.38,4.37,1.91,2.84,2.85,3,1.02,0.59,0.31,5.39,2.26,3.44
