Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Spring 2019,Salag MPA,0.01,0.21,0.26,0.25,0.02
Summer 2019,Salag MPA,0.04,0.08,0.28,0.3,0.0
Autumn 2019,Salag MPA,0.04,0.07,0.25,0.36,0.07
Winter 19/20,Salag MPA,0.04,0.16,0.27,0.3,0.02
Summer 2022,Salag MPA,0.03,0.13,0.27,0.32,0.04
Autumn 2022,Salag MPA,0.05,0.08,0.24,0.33,0.1
Winter 22/23,Salag MPA,0.07,0.08,0.22,0.28,0.07
Spring 2023,Salag MPA,0.04,0.13,0.24,0.31,0.07
Summer 2023,Salag MPA,0.08,0.07,0.21,0.38,0.02
Autumn 2023,Salag MPA,0.05,0.12,0.22,0.34,0.01
Winter 23/24,Salag MPA,0.04,0.12,0.27,0.32,0.01
Spring 2024,Salag MPA,0.02,0.15,0.26,0.3,0.06
Summer 2024,Salag MPA,0.07,0.07,0.25,0.35,0.03
Autumn 2024,Salag MPA,0.13,0.12,0.16,0.33,0.02
Winter 24/25,Salag MPA,0.07,0.24,0.15,0.26,0.01
Spring 2025,Salag MPA,0.07,0.3,0.13,0.25,0.02
Summer 2025,Salag MPA,0.08,0.2,0.16,0.32,0.01
