Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density
2017Q3,42.7,8.73,12.18,5.82,202.47,90.2,13.73,55.13,48.07,17.27,34.4,12.07
2017Q4,41.67,9.58,17.5,2.92,182.2,107,6.43,49.4,49.6,25.6,25.4,11
2018Q1,44.08,16.13,7.42,2.17,261.63,125.5,9.65,83.38,73.88,19.13,32.88,13.38
2018Q2,38.85,15.77,7.31,0.96,82.83,48.11,10.87,32.06,12.94,5.06,10.06,4.11
20183,41.93,17.06,7.98,5.66,237.29,62.43,8.06,78.29,46.14,35.86,35.43,11
2018Q4,41.72,17.35,8.55,3.56,292.67,110.17,15.89,127,52.67,34.83,40.83,12
2019Q1,42.32,16.78,10.11,4.43,508.5,226.67,17.1,281.67,57.33,47.5,55.67,20.67
2019Q2,37.56,14.4,13.21,0.92,359.56,131.11,8.11,175.67,39.11,45.22,40.22,12
2019Q3,40.22,16.38,6.56,2.57,185.8,74.7,1.42,84.7,21.8,16.7,23.7,7.2
2019Q4,34.52,19.88,8.45,4.03,407.71,145.57,10.31,215.14,41.57,42.14,43.43,12
2020Q1,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,
2022Q1,27.29,26.04,16.42,8.09,"1,319.33",244.5,8.56,"1,135.50",32,13.83,13.83,4.67
2022Q2,23.56,15.83,15.51,7.22,923.47,125.87,6.07,689.27,133.67,18.4,17.73,3.8
2022Q3,29.96,17.5,6.8,13.03,1777,213.73,21.76,1413.09,195.27,39,26.45,9.55
2022Q4,28.73,17.21,16.23,7.8,988.54,76.54,3.57,772.23,100.31,20.15,13.62,6.69
2023Q1,28.67,12.99,17.39,9.2,634.31,52.25,4.11,502,43.31,16.56,14.94,6.56
2023Q2,26.7,16.81,21.05,1.81,1042.91,62.18,5.33,797.55,135.56,21.18,18.18,7.45
2023Q3,23.57,14.29,26.19,1.37,1054.67,61.17,5.78,788.33,170.67,22.83,19.5,13
2023Q4,19.17,11.96,23.24,2.65,799.59,49.76,2.96,604.35,120.82,12.71,19.53,14.06
2024Q1,25.7,14.39,15.13,3.16,1005,155.4,14.2,696.2,198.4,16.7,13.3,10.5
2024Q2,29.53,18.18,14.79,6.04,1113.5,115.4,2.85,823.1,131.6,19.3,16.4,7.7
2024Q3,23,12.06,19.5,1.44,846.46,71.38,5.78,692.69,99.08,12.69,11.46,6.46
2024Q4,,,,,,,,,,,,
