Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density
2017Q3,40.25,7.58,6,3.58,260.33,142.33,14.1,98.67,29.67,40,39.33,12.33
2017Q4,41.46,8.33,5.63,2.57,124,82.14,11.29,68.71,16.71,12.43,11,6
2018Q1,40.1,14.5,4.23,2.37,133.41,88.06,5.91,66.76,17.06,10.65,13.53,9.59
2018Q2,36.25,6.35,0.94,14.48,225.33,139.67,11.93,103,20.67,26,21.67,13.67
2018Q3,34.5,12.94,2.94,4.61,364,248.86,13.65,219.86,26.71,25.57,30.43,22.57
2018Q4,39.37,12.66,2.68,1.71,165,56.33,3.45,61.17,15,19,28.33,23.33
2019Q1,39.33,14.53,2.47,2.28,146.75,59.92,2.51,67.25,11.83,11.5,22.83,7.67
2019Q2,36.91,13.67,2.9,3.33,522.38,329.75,17.54,321.63,39,36.25,47.63,15.75
2019Q3,36.9,12.13,3.43,2.6,205.30,71.40,2.23,112.40,17.00,18.20,28.70,8.30
2019Q4,40.19,13.59,5.45,6.28,75.42,26.71,1.26,33.33,10.46,6.46,8.92,4.67
2020Q1,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,
2022Q1,47.41,11.67,3.89,12.36,,,,,,,,
2022Q2,41.99,12.08,5.28,13.7,686.8,139.85,7.93,521,72.23,8.77,15.62,2.69
2022Q3,40.38,8.85,5.83,22.37,1017,98.1,6,817.3,61.3,14.8,19.1,3.2
2022Q4,37.56,14.17,6.73,19.36,617.67,83.33,4.92,504.4,34.27,10.93,12.27,6.2
2023Q1,41.44,15.37,4.86,13.84,594.6,43.13,4.5,482.8,29.8,8.33,14.53,2.2
2023Q2,44.21,11.25,5.92,2.75,629.13,38.07,2.71,463.4,57.07,9.53,11.07,5.47
2023Q3,41.25,13.93,10.71,0.83,553.67,73.82,3.08,447.25,43.33,8,9.75,4
2023Q4,39.82,21.84,6.89,0.7,567.05,52.63,8.97,436.37,60.26,8.16,10.32,9.53
2024Q1,39.08,18.29,4.52,4.08,730.5,88.31,8.38,545.56,113.56,5.88,11.56,7.06
2024Q2,48.33,13.96,4.1,8.06,595.64,67.64,3.72,386.45,129.27,7.91,12.09,6.55
2024Q3,38.14,16.47,12.99,2.26,542.08,53.69,3.58,414.38,87.77,7.62,5.92,3.58
2024Q4,,,,,,,,,,,,
