Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density
2017Q3,32,9.87,5,1.73,,,,,,,,
2017Q4,36.06,3.94,9.85,0.9,139,94,7.71,58,39,11,12,4
2018Q1,26.76,18.7,6.94,0.97,12.73,10.25,#REF!,#REF!,,,,#REF!
2018Q2,28.44,12.4,5.83,2.39,171.75,96.63,12.41,61.63,34.38,10,25,13.88
2018Q3,16.79,14.94,10,1.22,789.86,507.29,38.96,448.71,175.43,13.71,37.43,31.57
2018Q4,18.61,17.5,11.11,0.89,777.83,642.33,44.81,482,165,14.5,42.67,20.17
2019Q1,19.53,13.73,10.25,0.58,386.6,296.7,17.75,223.7,67.4,11.6,25.6,19.6
2019Q2,16.67,14.1,12.73,0.9,"1,334.00",957.17,69.44,867.50,177.83,24.00,49.67,32.00
2019Q3,22.4,13.3,8.16,2.37,169.67,80,3.42,41.67,27.11,10.67,26.33,26.67
2019Q4,28.42,19,18.5,1.39,380.13,279.13,18.1,225.63,49.88,6.25,29.88,26.63
2020Q1,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,
2022Q1,20.37,11.39,14.35,2.96,865.83,268.58,26.22,702.75,70.83,11.58,43.63,4.75
2022Q2,19.63,14.03,8.56,8.19,1173.88,313,22.16,863.88,112.5,16.38,45.5,12.88
2022Q3,18.69,9.82,10.24,8.21,2665.43,1162.57,63.56,2132.43,190.86,22.14,37.86,18.43
2022Q4,16.25,19.58,15.56,3.47,760.18,286.27,15.98,599.82,63.45,11.64,17,6.45
2023Q1,17.28,11.71,9.56,7.15,646.73,100.93,7.5,462.27,55.8,12.53,23.4,13
2023Q2,15.32,11.99,16.67,2.96,894.72,217.17,16.58,721.06,65.83,17.89,16.28,9.56
2023Q3,14.5,12.33,19.42,0.92,687.63,108.88,11.47,497.5,106,11.63,23.88,18.63
2023Q4,10.32,8.66,17.27,0.42,834.93,264.5,20.42,596.29,136.57,11.5,26.14,22.64
2024Q1,14.36,14.29,9.74,1.73,875.33,238.83,24.94,652.58,112.08,11,24.5,30
2024Q2,14.02,10.98,14.02,1.82,732.36,164.55,24.13,539.55,95.55,10.36,20.91,30.27
2024Q3,12.5,15.06,14.23,0.26,664.92,197.5,16.17,498.08,81.67,8.58,26.33,20.08
2024Q4,,,,,,,,,,,,
