Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density
2019Q1,42.29,23.96,0.63,0.83,340.38,209.63,11.94,188.50,41.75,18.38,24.00,10.50
2019Q2,53.33,12.71,1.25,1.04,617,100,23.33,187,62,52,52,19
2019Q3,51.46,9.58,4.17,0.63,378,197.5,10.93,204.33,17.33,25.83,36,13.17
2019Q4,26.79,39.88,0.12,7.38,299,90.5,5.52,113,20.5,22.5,33,21.5
2020Q1,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,
2022Q1,28.96,30.83,4.17,0.83,2.64,5.00,#REF!,#REF!,21.67,,,#REF!
2022Q2,27.21,40,3.13,14.17,648.5,41,5,374,105,7,19,7
2022Q3,40,9.38,8.54,8.13,329.25,32,2.83,197,59,7,11.75,4
2022Q4,24.17,31.04,5.63,10.83,458,18.5,1.63,314,667.5,12,19,6
2023Q1,36.11,32.22,5,14.44,926.5,113,32.23,560,119,24,48.5,13
2023Q2,24.86,2.64,2.64,2.64,283.67,32.33,9.43,186.5,52.33,5.83,9.17,7.67
2023Q3,25.63,36.23,9.17,2.92,659.5,83.5,24.53,420.5,157,11.5,18,24
2023Q4,24.17,29.17,4.72,4.03,552.5,53.5,5.27,364.5,122.5,8,10.5,25
2024Q1,29.38,21.67,3.54,7.71,464.5,69,10.38,252.75,132.25,9.5,15.25,16.75
2024Q2,31.46,23.75,8.75,7.08,266.5,19.5,1.62,135.5,82,4.5,11,1.5
2024Q3,21.39,26.94,10.83,0,51,8,0.62,23,20,4,2,0
2024Q4,,,,,,,,,,,,
