Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density,
2017Q3,23.53,13.4,3.65,2.45,148,82.33,10.22,60.78,30,11.78,21.22,9.33,1
2017Q4,23.61,9.17,4.07,0.09,150.25,58.5,1.89,33.5,19.25,6.25,16.5,14.75,
2018Q1,16.29,14.32,2.35,0.91,180.25,120.50,5.00,63.88,32.75,9.75,21.75,36.88,
2018Q2,19.17,11.06,1.83,1.39,177,102.45,5.59,68.91,22,12,32.64,23.45,
2018Q3,9.33,14.92,7.17,0,387.17,193.17,14.45,143.33,87,21.5,51.33,30.67,
2018Q4,12.23,17.23,4.51,1.6,460.33,292.5,14.45,228.17,55.33,30.17,53,35.83,
2019Q1,10.42,13.79,5.98,0.42,368.38,240.88,9.78,185.13,41,25.5,49.63,20.75,
2019Q2,10.15,12.39,7.23,0.42,213.38,87.63,8.1,45,48.75,21.88,44.5,15.13,
2019Q3,11.3,16.99,7.45,0.49,196,87.8,1.98,64.2,15.2,17.9,29,38.7,
2019Q4,11.35,16.47,7.26,1.03,300.57,161.43,5.2,135.14,18.29,17.86,23.29,31.71,
2020Q1,,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,,
2022Q1,12.22,20.37,5.83,2.13,,,,,,,,,
2022Q2,17.33,14.72,4.2,6.98,989.23,186.08,11.26,701,74.46,15.31,15.15,9.85,
2022Q3,15.35,8.68,5.07,6.46,1008.14,147.71,4.97,755.14,81.14,21.57,28.86,22.14,
2022Q4/ 23,10.14,18.89,8.26,4.59,499.91,52,2.37,368.86,31.82,12.09,6.91,,
2023Q1,15.15,16.62,4.51,4.85,725.73,108.07,5.09,506.67,37.67,10.47,20.47,20.07,
2023Q2,15.51,16.2,9.17,0.14,838.2,128.4,6.86,627.47,53,13.2,13.67,12.73,
2023Q3,14.72,15.83,7.43,0.69,401,138.2,16.24,284.8,70.6,5.8,9.8,12.4,
2023Q4,13.47,12.43,7.08,0.07,803.82,235.18,11.39,553.27,80.73,10.45,13.82,22.09,
2024Q1,10.61,16.67,3.64,1.82,725.38,104,3.78,555.88,85.13,9.38,11,27.5,
2024Q2,6.35,15.63,7.5,0.94,617.43,65.29,3.32,432.57,108.43,5.43,10,18,
2024Q3,9.72,8.28,9.06,0.39,424.23,48.08,3.05,307.69,47.92,6.85,7.31,10.85,
2024Q4,,,,,,,,,,,,,
