Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density
2022Q2,23.75,19.58,5.94,3.85,895.25,151.5,4.76,711.5,100.25,19.25,23.25,8
2022Q3,24.38,13.02,9.17,7.4,663,64.75,2.18,532,45.38,15.13,13.38,5.63
2022Q4,26.76,11.11,15.74,3.89,732.25,141.75,8.27,610.5,45.75,16.5,17.5,12.75
2023Q1,24.24,17.78,10.56,6.46,440.4,81.4,3.02,352.9,25.7,10.3,8.7,6.8
2023Q2,24.86,36.11,2.64,3.47,282.45,43.36,2.58,233.18,21,7.64,5.27,7
2023Q3,25.73,15.42,13.02,1.77,585.33,120,6.49,480.17,49.33,10.67,18,14.17
2023Q4,19.23,22.02,8.63,0.83,622.5,195.63,8.24,529.25,41,11.5,12.5,7.13
2024Q1,22.62,15.36,9.05,0.48,607.8,42,3.38,420.6,79.4,14,18.6,18
2024Q2,18.44,18.44,3.33,1.04,651.33,254,14.96,542.33,51.83,10.17,7.83,6.5
2024Q3,18.98,17.69,13.43,0.37,615,135.71,5.97,491,54.71,16.29,13.29,13.29
2024Q4,,,,,,,,,,,,
