Season,Hard Coral Cover,Fleshy Macro Algae Cover,Rubble,Bleaching,Total Denisty,Commercial Denisty,Commercial Biomass,Herbivore Denisty,Carnivore Density,Omnivore Density,Corallivore Denisty,Detritovore Density,
2017Q3,37.07,18.17,8.07,3.07,229.25,134,14.32,89.17,62.25,16.75,13.58,16.75,1
2017Q4,,,,,227,97.5,5.22,80.5,95.5,16.5,11.5,11,
2018Q1,29.44,27.04,11.25,0.97,213.42,129.92,6.73,107.17,34.42,13.67,18.08,17.08,
2018Q2,18.72,30.64,2.69,1.41,275.25,185,13.92,147,43.75,22,22,20,
2018Q3,20.28,30.36,12.88,1.04,791.6,331.6,20.12,306.2,283.6,41.8,32.2,32.2,
2018Q4,22.59,32.94,10.23,2.14,363.33,268.33,28.55,168.83,102.83,17.67,33.17,21,
2019Q1,20.56,31.96,12.55,0.77,445.2,368.8,8.91,273.6,114.1,13,14.5,6,
2019Q2,20.98,25.98,18.8,0.88,511.71,342.71,14.77,360.57,25.43,42.14,29,17.29,
2019Q3,22.5,31.35,11.64,1.37,217.45,133.45,4.16,161.4,10.65,11.4,9.6,14.5,
2019Q4,25.33,30.43,9.87,4.35,378.08,258.08,11.6,193.42,80,22.67,19.58,33.67,
2020Q1,,,,,,,,,,,,,
2020Q2,,,,,,,,,,,,,
2020Q3,,,,,,,,,,,,,
2020Q4,,,,,,,,,,,,,
2021Q1,,,,,,,,,,,,,
2021Q2,,,,,,,,,,,,,
2021Q3,,,,,,,,,,,,,
2021Q4,,,,,,,,,,,,,
2022Q1,12.22,20.37,5.83,4.76,609.3,163.2,9.9,457.7,67.8,21.6,14.8,5.1,
2022Q2,26.49,33.37,9.31,10.4,533.13,72.87,3.48,383.53,94.67,17.93,7.87,5.73,
2022Q3,30.3,28.94,7.39,12.46,697.47,106.12,6.27,497.12,109.35,25.12,9.76,9.41,
2022Q4,19.52,34.05,19.7,10,493.83,91.92,3.56,326.5,104.17,13.75,71.17,10,
2023Q1,19.63,26.11,25.56,5.6,432.53,58.76,2.95,319.65,36.65,13.24,8.18,7.53,
2023Q2,29.54,16.25,24.17,3.46,522.29,64.41,3.2,427.18,41.41,14.35,10.53,7,
2023Q3,22.72,22.56,30.28,3.22,416.36,54.29,3,293.93,82.36,11.36,8.07,14.14,
2023Q4,14.21,26.21,35.58,2.79,660.77,84.08,7.56,403.38,188.85,19.08,14.23,18.85,
2024Q1,22.69,25.97,15.09,3.47,540.33,87.5,6.93,411.5,83.33,12.58,9.92,11.92,
2024Q2,20.57,29.7,25.72,3.03,563.88,98.88,5.5,349.13,138.63,15.88,10.25,9,
2024Q3,20.99,27.29,21.56,2.19,473.71,85.57,6.43,347.71,78.29,13.14,7.71,9.36,
2024Q4,,,,,,,,,,,,,
